Config,Problem,M,IGD
IVFSPEA2,DTLZ7,3,0.3466041805704006
IVFSPEA2,DTLZ7,3,0.06078190627567194
IVFSPEA2,MaF1,3,0.042509751892460194
IVFSPEA2,MaF1,3,0.041154311722602095
IVFSPEA2,MaF1,3,0.040889479589161316
IVFSPEA2,MaF1,3,0.04149183424540364
IVFSPEA2,MaF1,3,0.04117774409174763
IVFSPEA2,MaF1,3,0.04125863170100212
IVFSPEA2,MaF1,3,0.042015200549747264
IVFSPEA2,MaF1,3,0.04110249282466276
IVFSPEA2,MaF1,3,0.042315129456910516
IVFSPEA2,MaF1,3,0.04167674093080814
IVFSPEA2,MaF1,3,0.04041477029895853
IVFSPEA2,MaF1,3,0.041234271012393346
IVFSPEA2,MaF1,3,0.04139920592156006
IVFSPEA2,MaF1,3,0.04069311046755173
IVFSPEA2,MaF1,3,0.040959836137333935
IVFSPEA2,MaF1,3,0.04100392230022615
IVFSPEA2,MaF1,3,0.041031400073259554
IVFSPEA2,MaF1,3,0.04088980964949753
IVFSPEA2,MaF1,3,0.041294818156860924
IVFSPEA2,MaF1,3,0.04133434671765906
IVFSPEA2,MaF1,3,0.041534697663820515
IVFSPEA2,MaF1,3,0.04205532918052879
IVFSPEA2,MaF1,3,0.041329945816694046
IVFSPEA2,MaF1,3,0.04119871012243886
IVFSPEA2,MaF1,3,0.040541853488079434
IVFSPEA2,MaF1,3,0.04074595603683441
IVFSPEA2,MaF1,3,0.041137330119428134
IVFSPEA2,MaF1,3,0.041012565885609815
IVFSPEA2,MaF1,3,0.04177438892538219
IVFSPEA2,MaF1,3,0.0412742986257392
IVFSPEA2,MaF5,3,4.8884957586359175
IVFSPEA2,MaF5,3,1.4914232412071118
IVFSPEA2,MaF5,3,0.2403222367205904
IVFSPEA2,MaF5,3,0.24634751767800178
IVFSPEA2,MaF5,3,1.4914244473273541
IVFSPEA2,MaF5,3,2.0208283968082377
IVFSPEA2,MaF5,3,0.24426232454110763
IVFSPEA2,MaF5,3,0.24881427341930296
IVFSPEA2,MaF5,3,0.24251184095785946
IVFSPEA2,MaF5,3,1.491468906946684
IVFSPEA2,MaF5,3,0.2446840583504518
IVFSPEA2,MaF5,3,2.020751240605669
IVFSPEA2,MaF5,3,0.239977489531852
IVFSPEA2,MaF5,3,4.88849572197653
IVFSPEA2,MaF5,3,0.23971876923654525
IVFSPEA2,MaF5,3,2.02078145397247
IVFSPEA2,MaF5,3,0.2444045934045476
IVFSPEA2,MaF5,3,0.2419373495649983
IVFSPEA2,MaF5,3,0.24130897568126639
IVFSPEA2,MaF5,3,0.24389662581461163
IVFSPEA2,MaF5,3,0.2406496686275626
IVFSPEA2,MaF5,3,0.2413770304107172
IVFSPEA2,MaF5,3,0.24698592194154578
IVFSPEA2,MaF5,3,0.24647929055070206
IVFSPEA2,MaF5,3,0.2447394594707866
IVFSPEA2,MaF5,3,0.24539736137156506
IVFSPEA2,MaF5,3,4.888495696522361
IVFSPEA2,MaF5,3,0.24665158715925664
IVFSPEA2,MaF5,3,0.2436913552892416
IVFSPEA2,MaF5,3,1.4915486500856228
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02017839454025587
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.0201132307210293
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02042575738042805
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020179177499527974
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020079690574770968
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02020934944513405
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02017859493383956
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020178303390541375
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020241999416242572
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.01982258355924255
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02000931225818203
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02024904541198241
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.0199925246351511
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020249773027223854
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020269647932452794
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.019879714727313865
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.01995784784964112
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020457365479727676
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020123881720824993
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02009747676988172
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02017492864509351
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020445367474943174
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020181168126694862
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.019956311612089165
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020150004659199274
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020241372027270162
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02015401142776611
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.02030431083096475
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.019807536261925628
IVFSPEA2_V1_DISSIM,DTLZ1,3,0.020202612546517573
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.054038842165229625
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05359507639738759
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.054033749656806455
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05430139330418343
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.054102174395525254
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05345902100947586
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05439417279146598
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05378531111204192
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.053742410872327236
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05426964520957144
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.053924305301572474
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05468528518631246
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05373607897023866
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05415237813727014
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05347101467700376
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05341449638481982
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.0542418782153274
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.053691222052608865
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.053108728265150916
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.0537001272035987
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05461068994915225
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05347385813413462
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05418743864153659
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05338852450423108
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05317989461467951
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05479664461584074
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05348900012089013
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.053179139269950104
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.05400346729309824
IVFSPEA2_V1_DISSIM,DTLZ2,3,0.0537358490861239
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05362993838445626
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408336898487037
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05358066552141148
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05408570921657799
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408314331568291
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05460366612014777
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408433291339689
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05500332037405481
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05454243887672563
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05335650784456716
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05427165995892801
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408421908777304
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408329677576214
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408285151357398
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05410627893224823
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.054973957571571676
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408323883684998
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05350134105561305
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05452545980125019
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05436384139477477
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408308601864751
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05423516334941791
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.0543686658047829
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408294188700346
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408387555615566
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.540824259010905
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05298687304603501
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.05327310204881588
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408440210729591
IVFSPEA2_V1_DISSIM,DTLZ4,3,0.5408432063028689
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.05729238583268208
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06018781900713382
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.061125951789498915
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.060412143860792786
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.0591325815756942
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.058611661587626054
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06002384198750189
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.059696806696283376
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.060412215704589746
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.060601073813507926
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06069419196106912
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.05986624005599731
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.3479005614778348
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.060502292654400415
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06043273882451423
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.05994309855847545
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.060921490867207044
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.3479547894627913
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06066210520321946
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06249547464830066
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.05971201474420345
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.060422147375137604
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.05845931975878038
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06049088159716006
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.05874097132295792
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06012305117111028
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.0617886459652236
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.061640799337714575
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06161025477123668
IVFSPEA2_V1_DISSIM,DTLZ7,3,0.06038853719480712
IVFSPEA2_V1_DISSIM,MaF1,3,0.041325425681000894
IVFSPEA2_V1_DISSIM,MaF1,3,0.04086239577359274
IVFSPEA2_V1_DISSIM,MaF1,3,0.04142524551295711
IVFSPEA2_V1_DISSIM,MaF1,3,0.04196513084723911
IVFSPEA2_V1_DISSIM,MaF1,3,0.04163162487115934
IVFSPEA2_V1_DISSIM,MaF1,3,0.04152062338352583
IVFSPEA2_V1_DISSIM,MaF1,3,0.0406423665441119
IVFSPEA2_V1_DISSIM,MaF1,3,0.04134813015680285
IVFSPEA2_V1_DISSIM,MaF1,3,0.04095188293797609
IVFSPEA2_V1_DISSIM,MaF1,3,0.04193913208681019
IVFSPEA2_V1_DISSIM,MaF1,3,0.04165276388985727
IVFSPEA2_V1_DISSIM,MaF1,3,0.04043805958008606
IVFSPEA2_V1_DISSIM,MaF1,3,0.041061069941487956
IVFSPEA2_V1_DISSIM,MaF1,3,0.04144868708936865
IVFSPEA2_V1_DISSIM,MaF1,3,0.04186582925896836
IVFSPEA2_V1_DISSIM,MaF1,3,0.04135436592572688
