Algorithm,Problem,M,D,Run,IGD,SourcePath,HV
IVFSPEA2,DTLZ1,3,7,28,0.0201670580913918,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_28.mat,0.841976889071609
IVFSPEA2,DTLZ1,3,7,29,0.0201163198042293,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_29.mat,0.842223050246317
IVFSPEA2,DTLZ1,3,7,30,0.0199419531505383,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_30.mat,0.842742700992154
IVFSPEA2,DTLZ1,3,7,31,0.0198836246756778,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_31.mat,0.842143156265287
IVFSPEA2,DTLZ1,3,7,32,0.0199107746907367,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_32.mat,0.842698334679446
IVFSPEA2,DTLZ1,3,7,33,0.0200001217377861,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_33.mat,0.841478932376628
IVFSPEA2,DTLZ1,3,7,34,0.0203372996132295,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_34.mat,0.841795568307278
IVFSPEA2,DTLZ1,3,7,35,0.0199517794795981,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_35.mat,0.842766073736287
IVFSPEA2,DTLZ1,3,7,36,0.0201147548221978,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_36.mat,0.842594881664602
IVFSPEA2,DTLZ1,3,7,37,0.020033361881642,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_37.mat,0.842738364152087
IVFSPEA2,DTLZ1,3,7,38,0.0200875235571413,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M3_D7_38.mat,0.842691491006994
