Problem,M,D,UsedRuns,FeasibleRuns,MedianFeasiblePoints,FeasibleRunRate
RWMOP18,2,3,5,5,79,1
RWMOP19,3,10,5,0,0,0
RWMOP20,2,4,5,0,0,0
RWMOP21,2,6,5,5,100,1
RWMOP22,2,9,5,0,0,0
RWMOP23,2,6,5,0,0,0
RWMOP24,3,9,5,0,0,0
RWMOP25,2,2,5,5,28,1
RWMOP26,2,3,5,0,0,0
RWMOP27,2,3,5,4,6,0.8
RWMOP28,2,7,5,0,0,0
RWMOP29,2,7,5,0,0,0
RWMOP30,2,25,5,0,0,0
RWMOP31,2,25,5,0,0,0
RWMOP32,2,25,5,0,0,0
RWMOP33,2,30,5,0,0,0
RWMOP34,2,30,5,0,0,0
