Problem,M,D,UsedRuns,FeasibleRuns,MedianFeasiblePoints,FeasibleRunRate
RWMOP35,2,30,5,0,0,0
RWMOP36,2,28,5,0,0,0
RWMOP37,2,28,5,0,0,0
RWMOP38,2,28,5,0,0,0
RWMOP39,3,28,5,0,0,0
RWMOP40,2,34,5,0,0,0
RWMOP41,3,34,5,0,0,0
RWMOP42,2,34,5,0,0,0
RWMOP43,2,34,5,0,0,0
RWMOP44,3,34,5,0,0,0
RWMOP45,3,34,5,0,0,0
RWMOP47,2,18,5,0,0,0
RWMOP48,2,18,5,0,0,0
RWMOP49,3,18,5,0,0,0
RWMOP50,2,6,5,0,0,0
