Problem,M,D,UsedRuns,FeasibleRuns,MedianFeasiblePoints,FeasibleRunRate
RWMOP1,2,4,5,1,0,0.2
RWMOP2,2,5,5,0,0,0
RWMOP3,2,3,5,0,0,0
RWMOP4,2,4,5,0,0,0
RWMOP5,2,4,5,5,33,1
RWMOP6,2,7,5,0,0,0
RWMOP7,2,4,5,5,49,1
RWMOP8,3,7,5,5,33,1
RWMOP9,2,4,5,5,100,1
RWMOP10,2,2,5,5,100,1
RWMOP12,2,4,5,5,85,1
RWMOP13,3,7,5,0,0,0
RWMOP14,2,5,5,5,42,1
RWMOP15,2,3,5,0,0,0
RWMOP16,2,2,5,5,89,1
RWMOP17,3,6,5,0,0,0
