Problema,M,D,ivf_mean,ivf_std,ivf_median,ivf_q25,ivf_q75,spea2_mean,spea2_std,spea2_median,spea2_q25,spea2_q75,ratio_mean,ratio_median,ratio_mean_paired,ratio_std_paired,ratio_median_paired,n_runs
DTLZ1,M2,D6,10.589368416666668,0.3850228869892035,10.525230000000002,10.366038500000005,10.775390000000014,7.735521883333335,0.21562166061485732,7.7264305000000055,7.576939249999996,7.882233500000005,1.3689274720406548,1.362237064062117,1.3700615347240044,0.06502523373925394,1.3637671546625105,60
DTLZ1,M3,D7,22.13381151666666,1.591361207821218,21.684299499999987,21.177376000000002,22.494215249999986,12.049835316666668,0.3075254110341838,12.021594500000019,11.784830750000012,12.255069250000005,1.8368559349564217,1.8037789828961504,1.8361921148373586,0.11132525153859779,1.804757356080955,60
DTLZ2,M2,D11,12.926252449999996,0.36862298100590246,12.818182999999989,12.710168249999986,13.17051050000002,10.311324466666667,0.12578774973423434,10.297177000000008,10.207192,10.379551250000002,1.2535976820229626,1.2448249651336456,1.2537545836691057,0.03805619913849073,1.2452431554891858,60
DTLZ2,M3,D12,30.5372562,0.6984069719714713,30.483933000000007,30.09590975,30.929397249999994,21.9786483,0.1455643045131034,21.929626,21.877770999999978,22.05939250000001,1.3894055623065775,1.390079931139729,1.389512639828282,0.03504728316080456,1.3851203634659637,60
DTLZ3,M2,D11,9.10603235,0.36436732159851526,9.083366500000002,8.883552250000003,9.268135499999989,6.022211983333333,0.1884545810754454,6.005847999999993,5.9024232500000045,6.178169499999996,1.5120743632408222,1.512420311003544,1.5136832223814232,0.08015191617584318,1.5142270416639991,60
DTLZ3,M3,D12,17.962068833333337,0.9649112870116173,17.680422,17.16381025,18.688733999999986,8.920241933333333,0.28303510353466194,8.967712500000008,8.734278499999993,9.115041750000007,2.0136302319573116,1.9715643203325244,2.015972041402739,0.13150122179029608,1.985162512689843,60
DTLZ4,M2,D11,10.703198566666668,2.305225409711777,11.997801500000008,7.772018749999999,12.35574025000001,9.411025799999999,1.9400615207816183,9.953207499999994,9.82189775,10.080495749999994,1.1373041360344234,1.2054206144099795,1.2336777828183727,0.5580621624753113,1.2098527373628711,60
DTLZ4,M3,D12,19.85039188333333,5.253246979489664,17.766938500000002,15.8326165,25.582168499999995,17.802374883333336,5.663664947704043,21.753134999999983,10.536052999999999,21.99337925000001,1.115041785908989,0.8167530105430788,1.3056835518613588,0.7103837578557228,1.1482976871470665,60
DTLZ5,M2,D11,12.876149966666665,0.30180926546615183,12.845346999999986,12.703235750000003,13.038144499999998,10.8789274,0.45397377940858674,10.793228500000003,10.552834250000005,10.942425000000004,1.1835863493920058,1.1901301820859238,1.1854007305509795,0.05214398477665149,1.1979987276072555,60
DTLZ5,M3,D12,21.121088283333336,0.9695743825297992,21.11126949999998,20.444628750000007,21.658839,12.692567816666667,0.13282685477035988,12.707269500000002,12.611245000000011,12.769228499999986,1.6640516393853055,1.6613537235517022,1.6645236286228764,0.08477637071536064,1.6653117962835702,60
