Problema,D,IVFSPEA2_median,IVFSPEA2_iqr,IVFSPEA2_q25,IVFSPEA2_q75,IVFSPEA2_std,MFOSPEA2_median,MFOSPEA2_iqr,MFOSPEA2_q25,MFOSPEA2_q75,MFOSPEA2_std,SPEA2SDE_median,SPEA2SDE_iqr,SPEA2SDE_q25,SPEA2SDE_q75,SPEA2SDE_std,NSGAII_median,NSGAII_iqr,NSGAII_q25,NSGAII_q75,NSGAII_std,NSGAIII_median,NSGAIII_iqr,NSGAIII_q25,NSGAIII_q75,NSGAIII_std,MOEAD_median,MOEAD_iqr,MOEAD_q25,MOEAD_q75,MOEAD_std,SPEA2_median,SPEA2_iqr,SPEA2_q25,SPEA2_q75,SPEA2_std
DTLZ1,D6,0.0018271759544302001,1.2736633710600008e-05,0.00182001175831985,0.00183274839203045,3.207821901063852e-05,0.00183661332827075,1.5671807494900027e-05,0.0018303146192502001,0.0018459864267451002,3.565066967298761e-05,0.00199981901758315,7.400580706140017e-05,0.00196276303834865,0.00203676884541005,7.070228753187022e-05,0.00220617013515125,8.023984001162467e-05,0.002158374184638725,0.00223861402465035,7.122927151491276e-05,0.0017859533733951501,2.305738380624844e-06,0.00178552993186145,0.001787835670242075,1.5221430887660019e-05,0.0017866176021831002,3.913921561774945e-06,0.0017854636093461,0.001789377530907875,8.042685024889564e-06,0.0018341394130401,1.2495138414899938e-05,0.001828428199735,0.0018409233381499,2.3228932903228482e-05
DTLZ2,D11,0.00413172220108005,5.8179720593875585e-05,0.00410253769919475,0.004160717419788625,3.942398337655763e-05,0.0041742493308982,7.162017692337493e-05,0.00413763133966495,0.004209251516588325,4.859250179664779e-05,0.00967132707170825,0.000921896340265748,0.009342567004409701,0.01026446334467545,0.0010477196034871872,0.00512477643792005,0.00021842162538212445,0.0050034770002049,0.005221898625587025,0.0002012087063162026,0.0039660399534517995,3.2228821299218335e-08,0.003966024748485101,0.0039660569773064,4.9205578140253974e-08,0.0039658927857368,7.707228099652907e-09,0.003965888468409025,0.003965896175637125,9.195140767617772e-09,0.00418100382446195,5.879605149480046e-05,0.004144548891472375,0.004203344942967175,4.210463562027924e-05
DTLZ3,D11,0.0040832709131588,0.00014864604602032438,0.004045013079004975,0.0041936591250253,0.00023165708012741286,0.00428139817264495,0.0002909930867750002,0.004164821485492575,0.004455814572267575,0.00047736393195588336,0.010068887886354749,0.0014297605915681993,0.009446626552219676,0.010876387143787875,0.0012780917498128892,0.0053100530778787,0.0005128128069180997,0.0050753845305039,0.005588197337422,0.0005981659064888523,0.004224134315513351,0.0005294648951675498,0.004037859185072976,0.004567324080240525,0.0004955045669972235,0.0044009048698449,0.0006857044690739,0.00413129309373665,0.00481699756281055,0.0005767020867898561,0.0042939187025745,0.000379000334542,0.004146369286426675,0.004525369620968675,0.00032364776796004553
DTLZ4,D11,0.004132508405041,0.1846333586377485,0.0040996843862288,0.18873304302397728,0.3208901535405433,0.0041663866503719,8.552738430249972e-05,0.0041334612930945,0.0042189886773969995,0.26571772848469294,0.00982776324093855,0.002277349249053401,0.00926980889861135,0.01154715814766475,0.2636328659594721,0.0052006376520084,0.00045689306135329993,0.0049805309616854,0.0054374240230387,0.29727739081656995,0.003966222191465,1.0199366099498605e-06,0.003966059189869875,0.003967079126479825,0.2774033330198698,0.0039658892844507,1.7954915724344156e-08,0.003965885949498775,0.0039659039044145,0.1856736875874247,0.00416475354508685,7.529349168752461e-05,0.00413223388485235,0.004207527376539875,0.23889153272540853
DTLZ5,D11,0.0041307689831740005,5.1096938987050915e-05,0.004105632239222249,0.0041567291782093,4.2806133154586285e-05,0.0041708235055463,5.9782047698174814e-05,0.0041395977444667505,0.004199379792164925,4.780520479778536e-05,0.0100404150192278,0.0018495748698599008,0.00929822588034005,0.01114780075019995,0.0010918212471945946,0.0050335122052038005,0.00024787297321960007,0.004901020001286775,0.005148892974506375,0.0002154527758270897,0.00396603492190995,2.2662610275371586e-08,0.0039660224466178,0.003966045109228075,3.237506324477371e-08,0.0039658920670332005,6.003852525381104e-09,0.003965888450335275,0.0039658944541878,5.608944956003357e-09,0.0041740627226965,6.0902611782399745e-05,0.0041348598398748,0.0041957624516572,4.661743001361994e-05
DTLZ6,D11,0.00406012542304965,4.177978030577446e-05,0.004041942188078001,0.004083721968383775,2.9623001514893026e-05,0.0040861637586819,4.7328219647225014e-05,0.004057307572137625,0.00410463579178485,2.976779213052446e-05,0.0095097742299213,0.001235856709654825,0.00894430177634245,0.010180158485997275,0.0010582612691746286,0.00565028091286595,0.000397199132447075,0.0054966296632063,0.005893828795653375,0.00025045310121250613,0.00396597471975215,2.101848212490709e-08,0.003965961961962925,0.00396598298044505,3.2774422545817295e-07,0.0039658788260367,4.8303151001585776e-09,0.003965876563063,0.0039658813933781,4.577684188767799e-09,0.004093124659048,3.817483642010004e-05,0.004074773492716574,0.0041129483291366745,3.046144626551305e-05
DTLZ7,D21,0.004756154243853,0.00012422566934955012,0.00468554500430795,0.0048097706736575,0.03998009651730711,0.00472904650581585,0.00013103326771712453,0.0046736928857435,0.004804726153460625,0.00010259467427232711,0.005246063099682801,0.00023855508306537456,0.005153328023525,0.005391883106590375,0.00016507725877164183,0.0053783927105526,0.0002970240668175748,0.0052519000106349,0.005548924077452475,0.00020446478662015206,0.005115477919686,0.00011228277738520049,0.005046165955962475,0.0051584487333476755,8.160343700094639e-05,0.0073954076098232,0.4378252805848948,0.0072075761030865,0.44503285668798126,0.21275836748520022,0.00477429662951355,0.00013235993706722533,0.0047063534444768745,0.0048387133815441,9.894439482838547e-05
MaF1,D11,0.0037512575940585,5.404283992392492e-05,0.003727992018099225,0.00378203485802315,4.3780975872420434e-05,0.00380068672290195,7.28027523318e-05,0.003758908086053775,0.003831710838385575,4.540200415859264e-05,0.0039788566597399,8.955781883167487e-05,0.003925630474201525,0.0040151882930331995,6.7795365458934e-05,0.00462770949871615,0.000170934490630225,0.004546105057844075,0.0047170395484743,0.00012834494969002973,0.0035707034893507497,2.044975927527684e-08,0.003570694656571225,0.0035707151063305003,4.6588729096583723e-08,0.0035705825091286,6.107764950052941e-09,0.003570579056437425,0.003570585164202375,4.443049313294069e-09,0.0038039315396105004,5.579333259599995e-05,0.003778055241678525,0.003833848574274525,4.286017676804364e-05
MaF2,D11,0.00212790521415325,3.824054372852546e-05,0.0021119337735937,0.0021501743173222253,3.2034447653818235e-05,0.0021783113983624,3.5910860587675016e-05,0.002159417444596575,0.00219532830518425,2.908959223513539e-05,0.0023808991710207,0.00010940769523305012,0.002335009855151425,0.002444417550384475,7.474916058078884e-05,0.00275875773385315,0.00018810780253977494,0.002645419138879075,0.00283352694141885,0.00012097508837504246,0.0020067651255082,1.14720687720022e-06,0.002006519040831,0.0020076662477082003,7.1576607029516416e-06,0.0020121429649803,5.662304087300073e-06,0.002009963493028825,0.002015625797116125,5.59568802205923e-06,0.0021890444626624997,4.173224665302445e-05,0.002166429105389925,0.0022081613520429496,3.1394705554298435e-05
MaF3,D11,0.0038530520664877,0.0006246163852955252,0.0037722621512950747,0.0043968785365906,0.0006746680671688933,0.00438693267686845,0.0008397993561105998,0.004019264665814775,0.0048590640219253745,0.0007336062152112546,0.007758436133573601,0.0019822694364250255,0.00695961006404175,0.008941879500466775,0.0018462917153140674,0.004907900177715901,0.00044951798584590055,0.00473783370122195,0.00518735168706785,0.000681531575378062,0.00642747863615535,0.0005429408997369,0.00616735587025835,0.00671029676999525,0.0007354767799445033,0.01123942599924445,0.0025758378075096486,0.010418710462370575,0.012994548269880224,0.0021526850009071638,0.00420216846843205,0.0006399559754822499,0.004045842794823575,0.004685798770305825,0.0008612598433343875
