Source,Config,Problem,M,D,Run,HasHV,HV,HasIGD,IGD,Path
baseline,ARMOEA,RWMOP13,3,7,3,1,0.0882257004551496,1,718.154914105487,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_3.mat
baseline,ARMOEA,RWMOP13,3,7,4,1,0.0883371569092439,1,1180.73626022717,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_4.mat
baseline,ARMOEA,RWMOP13,3,7,5,1,0.0882123415762396,1,893.609744646983,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_5.mat
baseline,ARMOEA,RWMOP13,3,7,6,1,0.088259087675927,1,1438.23032022955,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_6.mat
baseline,ARMOEA,RWMOP13,3,7,7,1,0.0882514721465591,1,726.09735525724,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_7.mat
baseline,ARMOEA,RWMOP13,3,7,8,1,0.088286968297507,1,1734.87114630341,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_8.mat
baseline,ARMOEA,RWMOP13,3,7,9,1,0.0882525304060887,1,663.44494637413,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP13_M3_D7_9.mat
baseline,ARMOEA,RWMOP20,2,4,1,1,0,1,1458.80004141087,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_1.mat
baseline,ARMOEA,RWMOP20,2,4,10,1,0,1,1531.00083506252,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_10.mat
baseline,ARMOEA,RWMOP20,2,4,2,1,0,1,1388.00674076396,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_2.mat
baseline,ARMOEA,RWMOP20,2,4,3,1,0,1,1589.71582578874,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_3.mat
baseline,ARMOEA,RWMOP20,2,4,4,1,0,1,1474.38422217394,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_4.mat
baseline,ARMOEA,RWMOP20,2,4,5,1,0,1,1423.09354424768,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_5.mat
baseline,ARMOEA,RWMOP20,2,4,6,1,0,1,1927.32799617027,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_6.mat
baseline,ARMOEA,RWMOP20,2,4,7,1,0,1,1453.24201277756,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_7.mat
baseline,ARMOEA,RWMOP20,2,4,8,1,0,1,1696.15079465049,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_8.mat
baseline,ARMOEA,RWMOP20,2,4,9,1,0,1,1625.94570818424,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP20_M2_D4_9.mat
baseline,ARMOEA,RWMOP24,3,9,1,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_1.mat
baseline,ARMOEA,RWMOP24,3,9,10,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_10.mat
baseline,ARMOEA,RWMOP24,3,9,2,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_2.mat
baseline,ARMOEA,RWMOP24,3,9,3,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_3.mat
baseline,ARMOEA,RWMOP24,3,9,4,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_4.mat
baseline,ARMOEA,RWMOP24,3,9,5,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_5.mat
baseline,ARMOEA,RWMOP24,3,9,6,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_6.mat
baseline,ARMOEA,RWMOP24,3,9,7,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_7.mat
baseline,ARMOEA,RWMOP24,3,9,8,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_8.mat
baseline,ARMOEA,RWMOP24,3,9,9,1,NaN,1,NaN,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_RWMOP24_M3_D9_9.mat
baseline,ARMOEA,WFG4,2,11,1,1,0.347187144003397,1,0.0122339462094273,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_1.mat
baseline,ARMOEA,WFG4,2,11,11,1,0.347040155263698,1,0.0122168352897505,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_11.mat
baseline,ARMOEA,WFG4,2,11,12,1,0.347097932292032,1,0.0122182959814612,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_12.mat
baseline,ARMOEA,WFG4,2,11,13,1,0.347172564174226,1,0.0122343084875811,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_13.mat
baseline,ARMOEA,WFG4,2,11,14,1,0.347188581879591,1,0.0122410356947849,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_14.mat
baseline,ARMOEA,WFG4,2,11,19,1,0.347079110921129,1,0.0122233678398183,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_19.mat
baseline,ARMOEA,WFG4,2,11,2,1,0.34720600955637,1,0.0122458178027533,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_2.mat
baseline,ARMOEA,WFG4,2,11,20,1,0.347162251357275,1,0.0122266394303266,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_20.mat
baseline,ARMOEA,WFG4,2,11,21,1,0.347206513424139,1,0.0122368423664587,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_21.mat
baseline,ARMOEA,WFG4,2,11,22,1,0.347198073061724,1,0.0122391548607195,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_22.mat
baseline,ARMOEA,WFG4,2,11,27,1,0.347201722335295,1,0.0122437008989896,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_27.mat
baseline,ARMOEA,WFG4,2,11,28,1,0.347192078830263,1,0.0122531795227695,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_28.mat
baseline,ARMOEA,WFG4,2,11,29,1,0.347199673983387,1,0.012241030381114,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_29.mat
baseline,ARMOEA,WFG4,2,11,3,1,0.347188334025981,1,0.0122501322678385,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_3.mat
baseline,ARMOEA,WFG4,2,11,30,1,0.347199873054226,1,0.0122361602545388,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_30.mat
baseline,ARMOEA,WFG4,2,11,35,1,0.347186166341256,1,0.0122415890758439,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_35.mat
baseline,ARMOEA,WFG4,2,11,36,1,0.347184488174564,1,0.0122385980062589,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_36.mat
baseline,ARMOEA,WFG4,2,11,37,1,0.347162875463952,1,0.0122418847650684,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_37.mat
baseline,ARMOEA,WFG4,2,11,38,1,0.34719048909792,1,0.0122428823200271,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_38.mat
baseline,ARMOEA,WFG4,2,11,4,1,0.347175148594961,1,0.0122364932060684,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_4.mat
baseline,ARMOEA,WFG4,2,11,44,1,0.347198057153174,1,0.0122350241612897,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/ARMOEA/ARMOEA_WFG4_M2_D11_44.mat
