Algorithm,Problem,M,D,Run,HasHV,HV,Path
AGEMOEAII,DTLZ1,2,6,31,1,0.582105590275227,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_31.mat
AGEMOEAII,DTLZ1,2,6,32,1,0.582120649223528,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_32.mat
AGEMOEAII,DTLZ1,2,6,33,1,0.582124192745272,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_33.mat
AGEMOEAII,DTLZ1,2,6,34,1,0.582120048215378,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_34.mat
AGEMOEAII,DTLZ1,2,6,35,1,0.582053118245009,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_35.mat
AGEMOEAII,DTLZ1,2,6,36,1,0.581905618800052,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_36.mat
AGEMOEAII,DTLZ1,2,6,37,1,0.582105518298634,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_37.mat
AGEMOEAII,DTLZ1,2,6,38,1,0.582097116986096,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_38.mat
AGEMOEAII,DTLZ1,2,6,39,1,0.581720423612921,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_39.mat
AGEMOEAII,DTLZ1,2,6,4,1,0.581987674396744,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_4.mat
AGEMOEAII,DTLZ1,2,6,40,1,0.581874332780368,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_40.mat
AGEMOEAII,DTLZ1,2,6,41,1,0.58221855942646,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_41.mat
AGEMOEAII,DTLZ1,2,6,42,1,0.581723903947922,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_42.mat
AGEMOEAII,DTLZ1,2,6,43,1,0.581908436309561,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_43.mat
AGEMOEAII,DTLZ1,2,6,44,1,0.58212614973861,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_44.mat
AGEMOEAII,DTLZ1,2,6,45,1,0.581762491817697,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_45.mat
AGEMOEAII,DTLZ1,2,6,46,1,0.582074427091538,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_46.mat
AGEMOEAII,DTLZ1,2,6,47,1,0.58217281468388,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_47.mat
AGEMOEAII,DTLZ1,2,6,48,1,0.582035017151943,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_48.mat
AGEMOEAII,DTLZ1,2,6,49,1,0.582113633258319,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_49.mat
AGEMOEAII,DTLZ1,2,6,5,1,0.581791414676686,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_5.mat
AGEMOEAII,DTLZ1,2,6,50,1,0.582106926483746,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_50.mat
AGEMOEAII,DTLZ1,2,6,51,1,0.581940077586016,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_51.mat
AGEMOEAII,DTLZ1,2,6,52,1,0.581980747453567,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_52.mat
AGEMOEAII,DTLZ1,2,6,53,1,0.582183041432083,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_53.mat
AGEMOEAII,DTLZ1,2,6,54,1,0.581629720861126,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_54.mat
AGEMOEAII,DTLZ1,2,6,55,1,0.581894298075383,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_55.mat
AGEMOEAII,DTLZ1,2,6,56,1,0.582092206235471,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_56.mat
AGEMOEAII,DTLZ1,2,6,57,1,0.581837582950765,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_57.mat
AGEMOEAII,DTLZ1,2,6,58,1,0.581885747862175,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_58.mat
AGEMOEAII,DTLZ1,2,6,59,1,0.582174148340331,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_59.mat
AGEMOEAII,DTLZ1,2,6,6,1,0.581812309877896,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_6.mat
AGEMOEAII,DTLZ1,2,6,60,1,0.582031355336077,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_60.mat
AGEMOEAII,DTLZ1,2,6,61,1,0.581952923260662,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_61.mat
AGEMOEAII,DTLZ1,2,6,62,1,0.581858316903121,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_62.mat
AGEMOEAII,DTLZ1,2,6,63,1,0.582108988117463,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_63.mat
AGEMOEAII,DTLZ1,2,6,64,1,0.582165400113905,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_64.mat
AGEMOEAII,DTLZ1,2,6,65,1,0.581962494089615,/home/pedro/desenvolvimento/ivfspea2/data/modern_baselines/AGEMOEAII_DTLZ1_M2/AGEMOEAII_DTLZ1_M2_D6_65.mat
