Config,Problem,M,IGD
P2_C00,DTLZ1,3,0.0198511208635173
P2_C00,DTLZ1,3,0.020327377630519013
P2_C00,DTLZ1,3,0.020205818737720375
P2_C00,DTLZ1,3,0.020316226079194765
P2_C00,DTLZ1,3,0.020108957545511362
P2_C00,DTLZ1,3,0.020063487221957887
P2_C00,DTLZ1,3,0.02030857701455797
P2_C00,DTLZ1,3,0.02001626888336558
P2_C00,DTLZ1,3,0.020067732192612518
P2_C00,DTLZ1,3,0.02011118823696414
P2_C00,DTLZ1,3,0.02019179738853836
P2_C00,DTLZ1,3,0.020096264897978094
P2_C00,DTLZ1,3,0.019920193408607498
P2_C00,DTLZ1,3,0.020102706284311555
P2_C00,DTLZ1,3,0.0197272485215314
P2_C00,DTLZ1,3,0.019990490594198763
P2_C00,DTLZ1,3,0.02036619821786584
P2_C00,DTLZ1,3,0.019859019320917992
P2_C00,DTLZ1,3,0.0202920037599502
P2_C00,DTLZ1,3,0.019938501228134283
P2_C00,DTLZ1,3,0.019873172531080573
P2_C00,DTLZ1,3,0.020169428792487194
P2_C00,DTLZ1,3,0.020197312480041488
P2_C00,DTLZ1,3,0.01999422902891277
P2_C00,DTLZ1,3,0.02008978900321536
P2_C00,DTLZ1,3,0.020198265720943506
P2_C00,DTLZ1,3,0.020009072217339406
P2_C00,DTLZ1,3,0.020049841774606253
P2_C00,DTLZ1,3,0.020267952093948882
P2_C00,DTLZ1,3,0.019904972479073135
P2_C00,DTLZ1,3,0.020194393298985536
P2_C00,DTLZ1,3,0.020162623740427477
P2_C00,DTLZ1,3,0.020227563443800983
P2_C00,DTLZ1,3,0.01995782229993584
P2_C00,DTLZ1,3,0.02043291150247692
P2_C00,DTLZ1,3,0.020081653733604148
P2_C00,DTLZ1,3,0.019979227445048837
P2_C00,DTLZ1,3,0.020142393205289127
P2_C00,DTLZ1,3,0.020095678721134935
P2_C00,DTLZ1,3,0.020006734387259632
P2_C00,DTLZ1,3,0.020193940136926995
P2_C00,DTLZ1,3,0.020321914125498837
P2_C00,DTLZ1,3,0.019968792053565422
P2_C00,DTLZ1,3,0.020144174061299737
P2_C00,DTLZ1,3,0.02007514716563531
P2_C00,DTLZ1,3,0.020054344682663327
P2_C00,DTLZ1,3,0.02004357005554248
P2_C00,DTLZ1,3,0.019948321892737906
P2_C00,DTLZ1,3,0.02027666394278379
P2_C00,DTLZ1,3,0.019932878041259684
P2_C00,DTLZ1,3,0.02015375803862499
P2_C00,DTLZ1,3,0.020056870381964714
P2_C00,DTLZ1,3,0.019902616528884136
P2_C00,DTLZ1,3,0.020237317364342162
P2_C00,DTLZ1,3,0.020253759201691347
P2_C00,DTLZ1,3,0.02028222783967295
P2_C00,DTLZ1,3,0.02007952533455064
P2_C00,DTLZ1,3,0.020161570104178208
P2_C00,DTLZ1,3,0.020293410135274068
P2_C00,DTLZ1,3,0.01972078855251036
P2_C00,DTLZ2,3,0.053791126782415676
P2_C00,DTLZ2,3,0.054332347770131566
P2_C00,DTLZ2,3,0.053504122782036416
P2_C00,DTLZ2,3,0.053767474463112405
P2_C00,DTLZ2,3,0.053446525224675905
P2_C00,DTLZ2,3,0.05303314937394227
P2_C00,DTLZ2,3,0.0540949702072705
P2_C00,DTLZ2,3,0.05349198898553449
