analysis_mode,comparison,ivf_algo,base_algo,problem,M,group,metric,test,n_ivf,n_base,n_pairs,p_value,a12_raw,a12_ivf,median_ivf,median_base,p_adj,significant,sign
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG8,2,WFG,HV,wilcoxon,30,30,30,0.049710121005773544,0.35555555555555557,0.35555555555555557,0.29033939686100707,0.2907156034283732,0.0938968952331278,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG9,2,WFG,HV,wilcoxon,30,30,30,0.09194962680339813,0.38333333333333336,0.38333333333333336,0.3434266984844626,0.3435935545864371,0.15127196667655823,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT1,2,ZDT,HV,wilcoxon,30,30,30,0.3598779272288084,0.49444444444444446,0.49444444444444446,0.7203052690849581,0.7203053020813104,0.4706095971453649,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT2,2,ZDT,HV,wilcoxon,30,30,30,0.00018860027194023132,0.8422222222222222,0.8422222222222222,0.4450337815902556,0.4450337483016913,0.0009618613868951798,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT3,2,ZDT,HV,wilcoxon,30,30,30,0.5561132747679949,0.4677777777777778,0.4677777777777778,0.5987946727571245,0.5988029262461949,0.659576209608552,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT4,2,ZDT,HV,wilcoxon,30,30,30,0.12413446232676506,0.6877777777777778,0.6877777777777778,0.7202474577521819,0.7201357290845001,0.19783929933328182,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT6,2,ZDT,HV,wilcoxon,30,30,30,0.03272089920938015,0.3522222222222222,0.3522222222222222,0.3889558328131574,0.38895584845053877,0.06953191081993282,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ1,3,DTLZ,HV,wilcoxon,30,30,30,0.21293285302817822,0.6077777777777778,0.6077777777777778,0.8416944493697881,0.8416605960761334,0.3193992795422673,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ2,3,DTLZ,HV,wilcoxon,30,30,30,0.01283373311161995,0.6688888888888889,0.6688888888888889,0.5596174752916512,0.5596163119758173,0.03636224381625652,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ3,3,DTLZ,HV,wilcoxon,30,30,30,0.004031794145703316,0.7177777777777777,0.7177777777777777,0.5585349415255345,0.5564411100450095,0.017019220986045323,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ4,3,DTLZ,HV,wilcoxon,30,30,30,0.07324407435953617,0.6133333333333333,0.6133333333333333,0.5595843020953473,0.5595440676141654,0.12880854456332225,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ5,3,DTLZ,HV,wilcoxon,30,30,30,0.9032264724373817,0.5011111111111111,0.5011111111111111,0.193935815895589,0.19375424082389026,0.9032264724373817,False,=
