comparison,metric,tau,algo,fe_norm,fraction_solved,ci_low,ci_high,n_traces
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.1,0.6091503267973856,0.5856209150326798,0.6339869281045751,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.1090909090909091,0.6516339869281046,0.626797385620915,0.6751797385620916,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.1181818181818182,0.6973856209150326,0.6745098039215687,0.719624183006536,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.1272727272727273,0.7333333333333333,0.7104575163398693,0.7555555555555555,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.13636363636363635,0.7725490196078432,0.7522712418300653,0.7934640522875817,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.14545454545454545,0.8156862745098039,0.7967320261437908,0.8340032679738563,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.15454545454545454,0.8620915032679739,0.845735294117647,0.8790849673202614,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.16363636363636364,0.8901960784313725,0.8745098039215686,0.9052287581699346,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.17272727272727273,0.9065359477124183,0.8928104575163399,0.9202614379084967,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.18181818181818182,0.9183006535947712,0.9052287581699346,0.9320261437908497,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.19090909090909092,0.9261437908496732,0.9137254901960784,0.9392156862745098,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.2,0.9339869281045752,0.9222058823529412,0.9464052287581699,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.2090909090909091,0.9359477124183007,0.9248366013071896,0.9477124183006536,1530
