problem,M,group,metric,algo,algo_label,median,rank,is_best
MaF3,2,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.00376268190561935,1,True
MaF3,2,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.00487931608340225,2,False
MaF3,2,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.0059987980298251,3,False
MaF3,3,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.0325309925713462,1,True
MaF3,3,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.0510387833806675,3,False
MaF3,3,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.046315730596277596,2,False
MaF4,2,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.012463901403492749,1,True
MaF4,2,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.0157218027203202,2,False
MaF4,2,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.0349873963936281,3,False
MaF4,3,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.23909898398530705,1,True
MaF4,3,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.2962187764549937,2,False
MaF4,3,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.33746818038370974,3,False
MaF5,2,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.012673778650650901,2,False
MaF5,2,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.0160231494856799,3,False
MaF5,2,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.0122304875256289,1,True
MaF5,3,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.2464799165373171,1,True
MaF5,3,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.30320095715181294,3,False
MaF5,3,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.2597580896988205,2,False
MaF6,2,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.00405346876945575,2,False
MaF6,2,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.0050293843795893994,3,False
MaF6,2,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.0039658814126353,1,True
MaF6,3,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.0040514327306338,1,True
MaF6,3,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.00531270764937255,2,False
MaF6,3,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.0150425254671798,3,False
MaF7,2,MaF,IGD,IVFSPEA2,IVF/SPEA2,0.00471488821041755,1,True
MaF7,2,MaF,IGD,IVFNSGAII,IVF/NSGA-II,0.00546102582834145,3,False
MaF7,2,MaF,IGD,IVFNSGAIII,IVF/NSGA-III,0.0050405620910281505,2,False
