host,host_label,case,problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,sign,a12_ivf
IVFSPEA2,IVF/SPEA2,gain,MaF3,2,MaF,0.0037626819056193,7.041903011872517e-05,0.0042542116415806,0.0006271320466351,+,0.9933333333333334
IVFSPEA2,IVF/SPEA2,tie,WFG6,3,WFG,0.2401743943636821,0.019872825432284,0.2381430816908454,0.0131531253093286,=,0.48888888888888893
IVFSPEA2,IVF/SPEA2,adverse,WFG2,3,WFG,0.1825850248122688,0.0074213243534764,0.1729932126028884,0.0064541602141506,-,0.08777777777777762
IVFNSGAIII,IVF/NSGA-III,gain,DTLZ2,2,DTLZ,0.0039658782972563,4.137623724545514e-09,0.003966037678771,3.2543918974600745e-08,+,1.0
IVFNSGAIII,IVF/NSGA-III,tie,WFG4,3,WFG,0.2209308641029946,0.0001018618662655,0.220928098842649,8.758416983437045e-05,=,0.49777777777777776
IVFNSGAIII,IVF/NSGA-III,weakest,WFG8,2,WFG,0.1063875206986789,0.0012368533161065,0.105625514970339,0.0022222420380549,=,0.37
IVFNSGAII,IVF/NSGA-II,gain,WFG1,2,WFG,0.0181338765328232,0.0011547992709888,0.0205077241447086,0.0025483310060225,+,0.9011111111111112
IVFNSGAII,IVF/NSGA-II,tie,MaF7,3,MaF,0.0774746754515051,0.0059054185870768,0.0782328634766401,0.0051324628086208,=,0.5077777777777779
IVFNSGAII,IVF/NSGA-II,adverse,ZDT6,2,ZDT,0.0038974110653132,0.0002493894361677,0.0036205404382279,0.0001268071399111,-,0.07888888888888879
