Stage,Problem,M,Metric,Plus,Equal,Minus
MAIN,RWMOP9,2,IGD,8,0,0
MAIN,RWMOP9,2,HV,5,0,3
MAIN,RWMOP21,2,IGD,3,2,3
MAIN,RWMOP21,2,HV,3,2,3
MAIN,RWMOP8,3,IGD,1,1,5
MAIN,RWMOP8,3,HV,1,1,5
