Phase,ProblemTag,ProblemName,M
A,ZDT1_M2,ZDT1,2
A,ZDT6_M2,ZDT6,2
A,WFG4_M2,WFG4,2
A,WFG9_M2,WFG9,2
A,DTLZ1_M3,DTLZ1,3
A,DTLZ2_M3,DTLZ2,3
A,DTLZ4_M3,DTLZ4,3
A,DTLZ7_M3,DTLZ7,3
A,WFG2_M3,WFG2,3
A,WFG5_M3,WFG5,3
A,MaF1_M3,MaF1,3
A,MaF5_M3,MaF5,3
