Phase,ConfigID,ProblemTag,ProblemName,M,Run,IGD,HV,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description
A,A01,ZDT6_M2,ZDT6,2,100037,0.003048575485262629,0.3889387697455435,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100038,0.0030991510515696184,0.3889039034224542,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100039,0.0031037766978500953,0.3889100268357201,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100040,0.003063908366829647,0.3889173914584439,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100041,0.003102838365648288,0.38889588582547907,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100042,0.003098043583919971,0.3889040971555334,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100043,0.003070991064619825,0.3889214458526838,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100044,0.003075531211900331,0.3889145478624814,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100045,0.0030952017537204247,0.3888984072888165,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100046,0.0030503902770641937,0.388926874300497,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100047,0.003069929931299628,0.38891451002030575,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100048,0.0030520579944302915,0.38891440069340477,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100049,0.003054949723119936,0.3889169083920533,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100050,0.0030677784280191017,0.38889437329275967,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100051,0.0030644050536487,0.38891876747837806,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100052,0.0031252277143786144,0.3888983266026833,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100053,0.0030677491872673182,0.3889198944245574,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100054,0.003068154293691479,0.3889128087031273,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100055,0.0030761072854396995,0.38891344330767097,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100056,0.0030660100282506215,0.3889074864212486,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100057,0.0031513164048544164,0.3888581947825393,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100058,0.003057540535327781,0.3889126982276493,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100059,0.0030775426401083955,0.38890923854502013,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,ZDT6_M2,ZDT6,2,100060,0.0030725084455240316,0.38891506944868365,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100061,0.012752147098768651,0.3471161504886969,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100062,0.012667497501116882,0.3471875756555009,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100063,0.012932591245147083,0.34669433301377073,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100064,0.013063684053257878,0.34695951246460677,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,WFG4_M2,WFG4,2,100065,0.01290238803971896,0.3467881398439688,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
