Phase,ConfigIndex,ConfigID,Description,R,C,Cycles,M,V,EARN,N_Offspring,S
B,1,B01,AR control,0.2,0.16,2,0,0,0,1,1
B,2,B02,EAR light polynomial,0.2,0.16,2,0.3,0.1,0,1,1
B,3,B03,EAR medium polynomial,0.2,0.16,2,0.5,0.2,0,1,1
B,4,B04,EAR strong polynomial,0.2,0.16,2,0.7,0.3,0,1,1
B,5,B05,EARN random neogenesis,0.2,0.16,2,0.5,0.2,1,1,1
