algo,problem,group,M,D,run,IGD,HV
IVFNSGAII,DTLZ2,DTLZ,2,11,4009,0.0048042723402834,0.3467599690984764
IVFNSGAII,DTLZ2,DTLZ,2,11,4010,0.0052030296051723,0.3465846178281496
IVFNSGAII,DTLZ2,DTLZ,2,11,4011,0.0051681492215766,0.3464704699569225
IVFNSGAII,DTLZ2,DTLZ,2,11,4012,0.0051849612269219,0.3466332963015808
IVFNSGAII,DTLZ2,DTLZ,2,11,4013,0.0052227092548525,0.3463007517636453
IVFNSGAII,DTLZ2,DTLZ,2,11,4014,0.0049878209192761,0.346731579593857
IVFNSGAII,DTLZ2,DTLZ,2,11,4015,0.0049738956753442,0.3468329698037096
IVFNSGAII,DTLZ2,DTLZ,2,11,4016,0.0051960052412391,0.3467725337675436
IVFNSGAII,DTLZ2,DTLZ,2,11,4017,0.0054191351492634,0.3464785407303721
IVFNSGAII,DTLZ2,DTLZ,2,11,4018,0.0049384359525797,0.3465808095841122
IVFNSGAII,DTLZ2,DTLZ,2,11,4019,0.0050976087003939,0.3465323608202901
IVFNSGAII,DTLZ2,DTLZ,2,11,4020,0.0048982088803975,0.3465543115888941
IVFNSGAII,DTLZ2,DTLZ,2,11,4021,0.0048880779816539,0.3467805270071114
IVFNSGAII,DTLZ2,DTLZ,2,11,4022,0.0054003148335272,0.3464164172644816
IVFNSGAII,DTLZ2,DTLZ,2,11,4023,0.0053569549368317,0.3464158210135551
IVFNSGAII,DTLZ2,DTLZ,2,11,4024,0.0050627169978942,0.3467738972091503
IVFNSGAII,DTLZ2,DTLZ,2,11,4025,0.0048910661166059,0.346720544634144
IVFNSGAII,DTLZ2,DTLZ,2,11,4026,0.0054069134521643,0.3461220834530182
IVFNSGAII,DTLZ2,DTLZ,2,11,4027,0.0049465726283097,0.3467744761351335
IVFNSGAII,DTLZ2,DTLZ,2,11,4028,0.0053231182386058,0.3463791065897832
IVFNSGAII,DTLZ2,DTLZ,2,11,4029,0.0049371069007646,0.346558330749664
IVFNSGAII,DTLZ2,DTLZ,2,11,4030,0.0052553981026435,0.3467487585090129
IVFNSGAII,DTLZ2,DTLZ,3,12,4001,0.0716363097964574,0.5331610867479071
IVFNSGAII,DTLZ2,DTLZ,3,12,4002,0.0723188307348303,0.5341662344736172
IVFNSGAII,DTLZ2,DTLZ,3,12,4003,0.0680710200870965,0.52536303754746
IVFNSGAII,DTLZ2,DTLZ,3,12,4004,0.0694008225524196,0.5327928240149031
IVFNSGAII,DTLZ2,DTLZ,3,12,4005,0.0667861843586271,0.5337000625891404
IVFNSGAII,DTLZ2,DTLZ,3,12,4006,0.0730076945939189,0.5282392633229228
IVFNSGAII,DTLZ2,DTLZ,3,12,4007,0.0682311297810916,0.5297205674503112
IVFNSGAII,DTLZ2,DTLZ,3,12,4008,0.070505140083084,0.5399324933441922
IVFNSGAII,DTLZ2,DTLZ,3,12,4009,0.0661632596526269,0.5412330055550155
IVFNSGAII,DTLZ2,DTLZ,3,12,4010,0.0653902695344556,0.5365692247226974
IVFNSGAII,DTLZ2,DTLZ,3,12,4011,0.0724897772978674,0.5327160192770958
IVFNSGAII,DTLZ2,DTLZ,3,12,4012,0.066779415537635,0.5395301520232864
IVFNSGAII,DTLZ2,DTLZ,3,12,4013,0.0675451108666848,0.5407803632412693
IVFNSGAII,DTLZ2,DTLZ,3,12,4014,0.069510426562636,0.5301710589730049
IVFNSGAII,DTLZ2,DTLZ,3,12,4015,0.0693419447527131,0.5331695485530084
IVFNSGAII,DTLZ2,DTLZ,3,12,4016,0.0702958414309975,0.5298422952622859
IVFNSGAII,DTLZ2,DTLZ,3,12,4017,0.0684553334757108,0.5351142272290179
IVFNSGAII,DTLZ2,DTLZ,3,12,4018,0.0704266098809491,0.529547417449077
IVFNSGAII,DTLZ2,DTLZ,3,12,4019,0.0693600674676279,0.5232513930248702
IVFNSGAII,DTLZ2,DTLZ,3,12,4020,0.0716086756696233,0.525516018327052
IVFNSGAII,DTLZ2,DTLZ,3,12,4021,0.0673169160130303,0.5327839328990702
IVFNSGAII,DTLZ2,DTLZ,3,12,4022,0.0671443887782454,0.537112656008004
IVFNSGAII,DTLZ2,DTLZ,3,12,4023,0.0652324967494636,0.5374303379197439
IVFNSGAII,DTLZ2,DTLZ,3,12,4024,0.068937641448529,0.5374078064428516
IVFNSGAII,DTLZ2,DTLZ,3,12,4025,0.0707987598877274,0.5321554784935385
IVFNSGAII,DTLZ2,DTLZ,3,12,4026,0.0688807090126356,0.5365930084740782
IVFNSGAII,DTLZ2,DTLZ,3,12,4027,0.0699388699976477,0.5356353854438042
IVFNSGAII,DTLZ2,DTLZ,3,12,4028,0.0710924115877785,0.5320460748924247
IVFNSGAII,DTLZ2,DTLZ,3,12,4029,0.0654000399077082,0.5315193478397425
