algo,problem,M,run,FE,IGD,HV
IVFNSGAII,DTLZ1,2,4001,10000,0.03218094055863618,0.49744089578411727
IVFNSGAII,DTLZ1,2,4001,20000,0.0021369735486857317,0.5812601574022116
IVFNSGAII,DTLZ1,2,4001,30000,0.0021509773088611802,0.5814014364516975
IVFNSGAII,DTLZ1,2,4001,40000,0.0021408114917492904,0.5814702298532064
IVFNSGAII,DTLZ1,2,4001,50000,0.0021816745888035066,0.5815856211910331
IVFNSGAII,DTLZ1,2,4001,60000,0.002140702890366033,0.5817087263042836
IVFNSGAII,DTLZ1,2,4001,70000,0.0022000986831744837,0.5816009504346258
IVFNSGAII,DTLZ1,2,4001,80000,0.00220567034700003,0.5816162102826543
IVFNSGAII,DTLZ1,2,4001,90000,0.002129940398704233,0.581783195548047
IVFNSGAII,DTLZ1,2,4001,100000,0.0022386908668058743,0.5815396873270173
IVFNSGAII,DTLZ1,2,4002,10000,0.35931801015275167,0.011329529975027614
IVFNSGAII,DTLZ1,2,4002,20000,0.0030430089066843225,0.577324274512965
IVFNSGAII,DTLZ1,2,4002,30000,0.0023017011021011216,0.5807560558077904
IVFNSGAII,DTLZ1,2,4002,40000,0.0021394430181569846,0.5813607293603851
IVFNSGAII,DTLZ1,2,4002,50000,0.0022153158899502665,0.5814707916870834
IVFNSGAII,DTLZ1,2,4002,60000,0.002188553349249835,0.5816098948920185
IVFNSGAII,DTLZ1,2,4002,70000,0.002214643161657937,0.5815527354615433
IVFNSGAII,DTLZ1,2,4002,80000,0.002164046634829966,0.5816696814185486
IVFNSGAII,DTLZ1,2,4002,90000,0.0021785182071143534,0.581637753406383
IVFNSGAII,DTLZ1,2,4002,100000,0.002067702204804528,0.5818964111973226
IVFNSGAII,DTLZ1,2,4003,10000,0.3631335758851907,0.011286675450477799
IVFNSGAII,DTLZ1,2,4003,20000,0.0029941816064737786,0.5776641570248114
IVFNSGAII,DTLZ1,2,4003,30000,0.0023232861091608825,0.5807230510275594
IVFNSGAII,DTLZ1,2,4003,40000,0.0020897890477159045,0.5815738243762321
IVFNSGAII,DTLZ1,2,4003,50000,0.002448976167105856,0.5807596124665835
IVFNSGAII,DTLZ1,2,4003,60000,0.0022700451422931734,0.5811817643769388
IVFNSGAII,DTLZ1,2,4003,70000,0.0022819466608286214,0.5813200712317258
IVFNSGAII,DTLZ1,2,4003,80000,0.002153920866742584,0.5817133128152203
IVFNSGAII,DTLZ1,2,4003,90000,0.002244734308873859,0.5815010100953327
IVFNSGAII,DTLZ1,2,4003,100000,0.002293626040332714,0.5813868099705657
IVFNSGAII,DTLZ1,2,4004,10000,0.3705560657838339,0.007838265856022989
IVFNSGAII,DTLZ1,2,4004,20000,0.0026612904580836476,0.5786540634308354
IVFNSGAII,DTLZ1,2,4004,30000,0.002184075518008254,0.5812388352162577
IVFNSGAII,DTLZ1,2,4004,40000,0.002133940815043679,0.581581089248221
IVFNSGAII,DTLZ1,2,4004,50000,0.0022542469899699755,0.5813086784107071
IVFNSGAII,DTLZ1,2,4004,60000,0.002193465267586248,0.5814512223271304
IVFNSGAII,DTLZ1,2,4004,70000,0.002282459275621498,0.5812430344841374
IVFNSGAII,DTLZ1,2,4004,80000,0.00221892251159125,0.5813885749407712
IVFNSGAII,DTLZ1,2,4004,90000,0.002201817747478237,0.5814152708579718
IVFNSGAII,DTLZ1,2,4004,100000,0.002243303825456195,0.581338457215896
IVFNSGAII,DTLZ1,2,4005,10000,0.007563259675199467,0.5643255313803521
IVFNSGAII,DTLZ1,2,4005,20000,0.003221061271606105,0.5766650832786302
IVFNSGAII,DTLZ1,2,4005,30000,0.002216068599482589,0.5814567220453217
IVFNSGAII,DTLZ1,2,4005,40000,0.0021232176764955325,0.5818036786761258
IVFNSGAII,DTLZ1,2,4005,50000,0.002209944015254037,0.5815884480861413
IVFNSGAII,DTLZ1,2,4005,60000,0.002302653566584026,0.581386750392521
IVFNSGAII,DTLZ1,2,4005,70000,0.002214370515697952,0.5815939523911291
IVFNSGAII,DTLZ1,2,4005,80000,0.002084458449963104,0.581898260319031
IVFNSGAII,DTLZ1,2,4005,90000,0.0021269670730255283,0.5817989268161678
IVFNSGAII,DTLZ1,2,4005,100000,0.0022403676378115397,0.5815045768509455
IVFNSGAII,DTLZ1,2,4006,10000,0.35777841882927697,0.011736354248019831
IVFNSGAII,DTLZ1,2,4006,20000,0.0023628656320799266,0.5804980462272886
IVFNSGAII,DTLZ1,2,4006,30000,0.0022619996995052742,0.5813928269706248
IVFNSGAII,DTLZ1,2,4006,40000,0.0020380422240594697,0.5819306569780072
IVFNSGAII,DTLZ1,2,4006,50000,0.0021244278741910576,0.5817299158938445
IVFNSGAII,DTLZ1,2,4006,60000,0.002144400006547393,0.5816838661967432
IVFNSGAII,DTLZ1,2,4006,70000,0.0023696659827943207,0.5811598943544161
IVFNSGAII,DTLZ1,2,4006,80000,0.002236385608558604,0.5814768792169234
IVFNSGAII,DTLZ1,2,4006,90000,0.0022485344327388217,0.5814507815560093
