Problema,IVFSPEA2_median,SPEA2_median,MFOSPEA2_median,SPEA2SDE_median,NSGAII_median,NSGAIII_median,MOEAD_median,AGEMOEAII_median,ARMOEA_median
DTLZ1,0.02008858482020785,0.020106094205993748,0.0201623250418378,0.02056576133391105,0.02677278492018135,0.0205633411662313,0.02056135012393715,0.02004388482661435,0.0205611568669744
DTLZ2,0.053725462043217945,0.05424000057341885,0.05420355921561335,0.07679059798377649,0.06870394238123775,0.054464163201420196,0.0544638767893206,0.05257087289111635,0.054464906480820655
DTLZ3,0.05301341506056595,0.0532882754632287,0.0534846353146662,0.0755317553805092,0.0691456099017772,0.054626032638007,0.05461472552025225,0.05284086630214235,0.05464598043837785
DTLZ4,0.05447963984648435,0.0549836185510664,0.054885707898693,0.07898530987505226,0.06774802901340615,0.0544676524331259,0.0544639212632251,0.0556734350683976,0.05448373690836855
DTLZ5,0.0042788651243643,0.0044071630883601495,0.0044039978933984,0.0098391182050315,0.00580258983838335,0.01285259187223145,0.033907354223825,0.01122186776561145,0.0053722941377020005
DTLZ6,0.0040470176425589505,0.004082885816618,0.0040842405769659,0.009669884557958551,0.00583142701845205,0.0182143345653526,0.03392486463132155,0.0073923086663769,0.004998303437221
DTLZ7,0.0599850989668732,0.060587852895987296,0.06043389701158275,0.0599274834140841,0.07720538834936855,0.0759067963323159,0.15439650154578,0.06064552445009965,0.06816482444748845
WFG1,0.152113497655549,0.1526768295201435,0.151930965847913,0.1745321392125075,0.2228702496056215,0.1477387999697665,0.2284694302881385,0.1488856237110015,0.148545616649745
WFG2,0.18177181864561148,0.1726091068363835,0.1671405289019615,0.2056740903809645,0.22031547685472702,0.16455321262080702,0.24023430242822952,0.17321580695620298,0.164216936724286
WFG3,0.0874574087787776,0.09621225998485865,0.1053047354048895,0.06437331755148795,0.08925073729323905,0.1052800935034955,0.15731126497847098,0.06543111138650855,0.1166108850358645
WFG4,0.21242828158598898,0.2151413485085325,0.2153009529900435,0.3222976022848695,0.2704227178776335,0.220926956558879,0.2529909472113145,0.21320268423653,0.220841950468863
WFG5,0.220575257119681,0.22277862221648748,0.2226020581620355,0.3340989709538435,0.27722314512135604,0.2298815227160595,0.24782572913064999,0.233239311984762,0.2298492304569185
WFG6,0.2383239500970875,0.23898646576648952,0.240749491730947,0.338596219319171,0.3040688347567,0.2378463253905705,0.2703740632040465,0.2320829502063635,0.23857587342653852
WFG7,0.2141652516164905,0.217447149359005,0.2176401908156645,0.328482181933791,0.2780591827774195,0.22107336970449648,0.29100917169324203,0.214229802029905,0.221104570077363
WFG8,0.293324288578828,0.29533250703831704,0.298233544800495,0.357022412225821,0.37304708287536303,0.2793427253399975,0.3033411126717245,0.2881147400619055,0.27126424001224103
WFG9,0.210127042119278,0.21669015655860152,0.217246135878912,0.3119012838008605,0.2730256240317415,0.2216651971973705,0.25590499863278304,0.2127254581457675,0.22078595842006749
MaF1,0.04114747607023925,0.0417234503887379,0.0419005365186855,0.0420327915090101,0.05713972027360595,0.060658443121920855,0.070475224428483,0.039929025021880005,0.043550548915540346
MaF2,0.0310791484211045,0.03233035843814765,0.03085736397527995,0.031193341492370102,0.0456370853382143,0.03597193761596065,0.0388615418625447,0.02963143310709135,0.03287609038411645
MaF3,0.0324767562561937,0.033261271718658,0.0333824457835701,0.059137124981374495,0.0564028663604044,0.0469560478660028,0.0522602748534685,0.0339948835184863,0.0468548082712269
MaF4,0.239235016014736,0.24174674691034848,0.241499387320628,0.4628268593406475,0.296490074965269,0.33845791379435,0.6819375791079485,0.2912548899447585,0.3421215710279975
MaF5,0.24755897503234198,0.24704073000052001,0.24557445581834,0.37337762535055297,0.30056859000416547,0.259786125537837,0.296568995490222,0.2587839313538155,0.2597748640049835
MaF6,0.00405358394274035,0.00408784178107915,0.0040823679460615,0.00957254512468265,0.00524368983533185,0.015183316733689549,0.0339304617647426,0.00530699131852105,0.0050546828842549
MaF7,0.0594476497184779,0.060142089543766805,0.060372522108945,0.0591613854596266,0.07672079838664535,0.07614004655976364,0.154445813203238,0.06103557644380985,0.06871217787180865
