Algoritmo,Display,n_instances,runtime_median_s,runtime_iqr_s,ratio_vs_spea2_median,ratio_vs_spea2_iqr,ratio_vs_spea2_m2_median,ratio_vs_spea2_m3_median
IVFSPEA2,IVF/SPEA2,51,60.22110300000005,14.920957499999965,4.865051242220907,2.4154897982050736,5.62837468080418,3.343756044904733
SPEA2,SPEA2,51,11.2768315,10.881225749999997,1.0,0.0,1.0,1.0
MFOSPEA2,MFO-SPEA2,51,24.273056500000003,23.154731500000004,2.063428652089051,0.08807268003710833,2.0710826716805233,2.0554885542185457
SPEA2SDE,SPEA2+SDE,51,13.440325,11.303002000000001,1.2733915594235037,0.09540399064073335,1.26520963757264,1.2755390920134335
NSGAII,NSGA-II,51,0.7465600000000006,0.1131267500000005,0.06452175861632768,0.043812156200958886,0.07210241296410322,0.04256513830282118
NSGAIII,NSGA-III,51,1.322626,0.25753025000000007,0.11447452392547117,0.06717182614661066,0.1217018157213286,0.08447502164365217
MOEAD,MOEA/D,51,10.651776,0.5973097499999991,0.9308791443316947,0.6310497929229052,1.0378835468442575,0.5402676212265067
AGEMOEAII,AGE-MOEA-II,51,17.6295455,8.471188499999998,1.3585048307510081,0.8989815395261,1.8658826957279724,1.0932094539527304
ARMOEA,AR-MOEA,51,20.236639500000003,10.691471499999999,1.5667953506464802,0.5365511042138,1.5699443045419614,1.4565605163957187
