m_group,n_instances,n_algorithms,chi2,p_value,kendalls_w
M2,28,9,98.63809523809527,8.101712437476154e-18,0.44034863945578245
M3,23,9,91.87246376811595,1.9369605803751174e-16,0.499306868304978
M2+M3,51,9,152.8888888888887,4.8937097631877383e-29,0.3747276688453154
