problem,M,group,metric,algo,algo_label,median,rank,is_best
MaF3,2,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.7185950331214033,3,False
MaF3,2,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.7198232240445563,2,False
MaF3,3,MaF,HV,IVFSPEA2,IVF/SPEA2,0.9632759952754634,1,True
MaF3,3,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.9521888178942552,3,False
MaF3,3,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.9581228679193102,2,False
MaF4,2,MaF,HV,IVFSPEA2,IVF/SPEA2,0.8191124153181568,1,True
MaF4,2,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.8180702208777572,3,False
MaF4,2,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.8181862664320283,2,False
MaF4,3,MaF,HV,IVFSPEA2,IVF/SPEA2,0.5328393675295648,1,True
MaF4,3,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.5230934388241613,2,False
MaF4,3,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.5181857165715358,3,False
MaF5,2,MaF,HV,IVFSPEA2,IVF/SPEA2,0.3473019842221761,1,True
MaF5,2,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.34659850452062313,3,False
MaF5,2,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.34721514867462616,2,False
MaF5,3,MaF,HV,IVFSPEA2,IVF/SPEA2,0.5558734180796133,2,False
MaF5,3,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.5354742221137279,3,False
MaF5,3,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.5595956297651419,1,True
MaF6,2,MaF,HV,IVFSPEA2,IVF/SPEA2,0.3475585109751653,1,True
MaF6,2,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.3470559556972094,3,False
MaF6,2,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.34721508885451746,2,False
MaF6,3,MaF,HV,IVFSPEA2,IVF/SPEA2,0.2000816113263194,1,True
MaF6,3,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.19979191639866228,2,False
MaF6,3,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.19274410990183635,3,False
MaF7,2,MaF,HV,IVFSPEA2,IVF/SPEA2,0.24290970125746358,1,True
MaF7,2,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.24267756526266404,3,False
MaF7,2,MaF,HV,IVFNSGAIII,IVF/NSGA-III,0.24281809774020935,2,False
MaF7,3,MaF,HV,IVFSPEA2,IVF/SPEA2,0.2776242121129491,1,True
MaF7,3,MaF,HV,IVFNSGAII,IVF/NSGA-II,0.26835139873324476,3,False
