algorithm,avg_rank,display
NSGAIII,2.9285714285714284,NSGA-III
IVFSPEA2,3.107142857142857,IVF/SPEA2
ARMOEA,3.4285714285714284,AR-MOEA
MFOSPEA2,4.214285714285714,MFO-SPEA2
SPEA2,4.285714285714286,SPEA2
MOEAD,5.714285714285714,MOEA/D
AGEMOEAII,6.285714285714286,AGE-MOEA-II
NSGAII,7.285714285714286,NSGA-II
SPEA2SDE,7.75,SPEA2+SDE
