Grupo,Algoritmo,score_min,score_mean,score_max,n_instances,suite_idx
ZDT,AGEMOEAII,0.6949474679897685,0.8181941375937365,0.9322033354441773,5,0
ZDT,ARMOEA,0.6216745434874134,0.8672473004609353,0.9999836181852939,5,0
ZDT,IVFSPEA2,0.7973765951437715,0.9014676063326774,0.9935993547478402,5,0
ZDT,MFOSPEA2,0.7924565855163281,0.8974295484145879,0.990809086478102,5,0
ZDT,MOEAD,0.0,0.7039645792185807,0.9408249544574304,5,0
ZDT,NSGAII,0.732509873225754,0.8164337959817098,0.9259832442386317,5,0
ZDT,NSGAIII,0.6558093948824205,0.8742043858993472,1.0,5,0
ZDT,SPEA2,0.7884210367643378,0.895155004496368,0.9896639801144842,5,0
ZDT,SPEA2SDE,0.6676700769545614,0.818808552817935,0.9532721736167966,5,0
DTLZ,AGEMOEAII,0.6772483983183555,0.8721011762719799,0.9945278717248821,7,1
DTLZ,ARMOEA,0.5804825055595101,0.8357958814330697,0.9974117613909269,7,1
DTLZ,IVFSPEA2,0.6691658213489937,0.8745490274603321,1.0,7,1
DTLZ,MFOSPEA2,0.6651230957803,0.8719553327167395,0.9997960368885365,7,1
DTLZ,MOEAD,0.0,0.7246790110935352,0.9524643692467581,7,1
DTLZ,NSGAII,0.5877389275602555,0.8380477953244247,0.9910827604057176,7,1
DTLZ,NSGAIII,0.6640830474551784,0.8571445446143471,0.9817559769840754,7,1
DTLZ,SPEA2,0.6661630085894771,0.8725211677695848,0.9997806755673102,7,1
DTLZ,SPEA2SDE,0.526262316726593,0.8179526552243406,0.9629561809257201,7,1
WFG,AGEMOEAII,0.22791673946488367,0.5936576851843053,0.9953716126032044,9,2
WFG,ARMOEA,0.09100419783085367,0.4895368449796453,0.9041845497988695,9,2
WFG,IVFSPEA2,0.1531434220188851,0.5122876116581111,0.9522228554815293,9,2
WFG,MFOSPEA2,0.18692005105774345,0.5576931535095629,0.9528169561299507,9,2
WFG,MOEAD,0.0,0.37627921560160815,0.7551663539449307,9,2
WFG,NSGAII,0.017566658430982263,0.4729713811692772,0.9607500895995968,9,2
WFG,NSGAIII,0.228577073781161,0.5489339407404017,0.9322538837054402,9,2
WFG,SPEA2,0.18766776313404399,0.5630608703823156,0.9339740446991107,9,2
WFG,SPEA2SDE,0.03744789712472274,0.3974809816459012,1.0,9,2
MaF,AGEMOEAII,0.41158406930324165,0.8392740712472789,0.998094803594412,7,3
MaF,ARMOEA,0.3572944880949832,0.7999790505829835,0.9990221391882093,7,3
MaF,IVFSPEA2,0.4020160846751135,0.846735970945401,1.0,7,3
MaF,MFOSPEA2,0.4022209247690569,0.8454029826939197,0.9999348386089923,7,3
MaF,MOEAD,0.0,0.6646442428570241,0.9625864627768619,7,3
MaF,NSGAII,0.26680765639868576,0.797195310625697,0.9974604813310826,7,3
MaF,NSGAIII,0.35730706500090614,0.8090952912781545,0.990270354338948,7,3
MaF,SPEA2,0.3982682308489637,0.8439258829427191,0.9999070026191781,7,3
MaF,SPEA2SDE,0.1203720406956662,0.7674025398647093,0.9855292440105398,7,3
