M,Reference,Algorithm,Wins,Losses,Ties,NumProblems
M2,SPEA2,IVFSPEA2,20,2,6,28
M2,SPEA2,MFOSPEA2,3,1,24,28
M2,SPEA2,SPEA2SDE,0,28,0,28
M2,SPEA2,NSGAII,1,26,1,28
M2,SPEA2,NSGAIII,18,8,2,28
M2,SPEA2,MOEAD,8,18,2,28
M2,SPEA2,AGEMOEAII,2,24,2,28
M2,SPEA2,ARMOEA,16,8,4,28
M3,SPEA2,IVFSPEA2,18,1,4,23
M3,SPEA2,MFOSPEA2,2,3,18,23
M3,SPEA2,SPEA2SDE,3,19,1,23
M3,SPEA2,NSGAII,1,22,0,23
M3,SPEA2,NSGAIII,4,18,1,23
M3,SPEA2,MOEAD,0,22,1,23
M3,SPEA2,AGEMOEAII,12,7,4,23
M3,SPEA2,ARMOEA,3,18,2,23
