algorithm,avg_rank,display
IVFSPEA2,2.217391304347826,IVF/SPEA2
AGEMOEAII,3.4347826086956523,AGE-MOEA-II
MFOSPEA2,3.5652173913043477,MFO-SPEA2
SPEA2,3.608695652173913,SPEA2
ARMOEA,4.869565217391305,AR-MOEA
NSGAIII,5.521739130434782,NSGA-III
SPEA2SDE,6.956521739130435,SPEA2+SDE
NSGAII,7.3478260869565215,NSGA-II
MOEAD,7.478260869565218,MOEA/D
