M,Reference,Algorithm,Wins,Losses,Ties,NumProblems
M2,IVFSPEA2,AGEMOEAII,24,1,3,28
M2,IVFSPEA2,ARMOEA,8,17,3,28
M3,IVFSPEA2,AGEMOEAII,8,12,3,23
M3,IVFSPEA2,ARMOEA,16,2,5,23
