Grupo,Problema,M,instance,instance_label,Algoritmo,value,score,metric
DTLZ,DTLZ3,M2,DTLZ3__M2,DTLZ3 (M2),NSGAIII,0.004224134315513351,0.9707348894108747,IGD
DTLZ,DTLZ3,M2,DTLZ3__M2,DTLZ3 (M2),SPEA2,0.0042939187025745,0.9591446421172393,IGD
DTLZ,DTLZ3,M2,DTLZ3__M2,DTLZ3 (M2),SPEA2SDE,0.010068887886354749,0.0,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),AGEMOEAII,0.05284086630214235,1.0,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),ARMOEA,0.05464598043837785,0.9204476241542925,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),IVFSPEA2,0.05301341506056595,0.9923956810230014,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),MFOSPEA2,0.0534846353146662,0.9716287444577214,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),MOEAD,0.05461472552025225,0.9218250456390858,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),NSGAII,0.0691456099017772,0.2814409544146267,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),NSGAIII,0.054626032638007,0.9213267347216202,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),SPEA2,0.0532882754632287,0.9802824314401632,IGD
DTLZ,DTLZ3,M3,DTLZ3__M3,DTLZ3 (M3),SPEA2SDE,0.0755317553805092,0.0,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),AGEMOEAII,0.00452935266990895,0.903876577756399,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),ARMOEA,0.0039884811715271,0.9961459616422841,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),IVFSPEA2,0.0041117571637087,0.9751158280882933,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),MFOSPEA2,0.0041663866503719,0.9657963703400188,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),MOEAD,0.0039658892844507,1.0,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),NSGAII,0.0052006376520084,0.7893594477255699,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),NSGAIII,0.003966222191465,0.9999432080906598,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),SPEA2,0.00416475354508685,0.9660749681565484,IGD
DTLZ,DTLZ4,M2,DTLZ4__M2,DTLZ4 (M2),SPEA2SDE,0.00982776324093855,0.0,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),AGEMOEAII,0.0556734350683976,0.9506751504036306,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),ARMOEA,0.05448373690836855,0.9991919036292303,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),IVFSPEA2,0.05447963984648435,0.9993589847823027,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),MFOSPEA2,0.054885707898693,0.9827992353065819,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),MOEAD,0.0544639212632251,1.0,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),NSGAII,0.06774802901340615,0.4582644580016214,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),NSGAIII,0.0544676524331259,0.9998478401871987,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),SPEA2,0.0549836185510664,0.97880636793992,IGD
DTLZ,DTLZ4,M3,DTLZ4__M3,DTLZ4 (M3),SPEA2SDE,0.07898530987505226,0.0,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),AGEMOEAII,0.00447703665771275,0.9158543650748932,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),ARMOEA,0.00396645323122725,0.9999076200388959,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),IVFSPEA2,0.00412167735220955,0.9743543177954299,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),MFOSPEA2,0.0041708235055463,0.9662637806909493,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),MOEAD,0.0039658920670332005,1.0,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),NSGAII,0.0050335122052038005,0.8242462582539274,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),NSGAIII,0.00396603492190995,0.9999764829472415,IGD
DTLZ,DTLZ5,M2,DTLZ5__M2,DTLZ5 (M2),SPEA2,0.0041740627226965,0.9657305343478715,IGD
