algo,problem,M,metric,median,ci_low,ci_high,n_valid
IVFNSGAII,DTLZ3,2,AUC_HV,26306.34001969131,25542.219444629925,28127.986281880774,30
IVFNSGAII,DTLZ3,2,Final_IGD,0.00523553957247465,0.0050967650238646,0.0053341359634827504,30
IVFNSGAII,DTLZ3,2,Final_HV,0.3457084104387934,0.3451909089800585,0.34625037437318884,30
IVFNSGAII,DTLZ3,2,Best_IGD,0.005076041375833951,0.0049396553448376995,0.0051929024727938,30
IVFNSGAII,DTLZ3,2,Best_HV,0.3457084104387934,0.3452801000327115,0.3462359945832316,30
IVFNSGAII,DTLZ3,2,TTT_igd_x100,25000.0,20000.0,30000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x50,25000.0,20000.0,30000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x20,30000.0,20000.0,30000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x10,30000.0,30000.0,30000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x5,30000.0,30000.0,40000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x3,40000.0,35000.0,40000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x2,45000.0,40000.0,50000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x1.5,50000.0,40000.0,60000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x1.2,60000.0,50000.0,70000.0,30
IVFNSGAII,DTLZ3,2,TTT_igd_x1.0,100000.0,90000.0,100000.0,30
IVFNSGAII,DTLZ3,3,AUC_IGD,62351.375742281845,42922.77563984673,85381.6554928387,30
IVFNSGAII,DTLZ3,3,AUC_HV,38011.45550837169,34998.87219968702,38999.953906389215,30
IVFNSGAII,DTLZ3,3,Final_IGD,0.06839486324762264,0.0670423065967874,0.0693485211037494,30
IVFNSGAII,DTLZ3,3,Final_HV,0.5320722183585078,0.5296438536982603,0.534795939016816,30
IVFNSGAII,DTLZ3,3,Best_IGD,0.06696850599114959,0.06544199700494399,0.06804605375273054,30
IVFNSGAII,DTLZ3,3,Best_HV,0.534183723822505,0.5298857210124839,0.5370497262138592,30
IVFNSGAII,DTLZ3,3,TTT_igd_x100,15000.0,10000.0,20000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x50,20000.0,20000.0,20000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x20,30000.0,20000.0,30000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x10,30000.0,30000.0,35000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x5,30000.0,30000.0,35000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x3,30000.0,30000.0,40000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x2,30000.0,30000.0,40000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x1.5,40000.0,30000.0,40000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x1.2,40000.0,40000.0,50000.0,30
IVFNSGAII,DTLZ3,3,TTT_igd_x1.0,90000.0,80000.0,100000.0,30
IVFNSGAII,DTLZ4,2,AUC_IGD,458.4157581446185,454.6101464234192,462.8077330325441,30
IVFNSGAII,DTLZ4,2,AUC_HV,31193.60495612637,31189.986562579026,31198.547322447514,30
IVFNSGAII,DTLZ4,2,Final_IGD,0.00517018917191145,0.005105657212066331,0.0052171090835573,30
IVFNSGAII,DTLZ4,2,Final_HV,0.3465858658878024,0.3463875810808086,0.3466238888814537,30
IVFNSGAII,DTLZ4,2,Best_IGD,0.00484947079026915,0.0048168626651767,0.0048902462069647,30
IVFNSGAII,DTLZ4,2,Best_HV,0.3468662007333988,0.34683996182757293,0.34689219116361814,30
IVFNSGAII,DTLZ4,2,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,2,TTT_igd_x1.0,60000.0,50000.0,75000.0,30
IVFNSGAII,DTLZ4,3,AUC_IGD,6090.698505384166,6037.947146919798,6130.00772313201,30
IVFNSGAII,DTLZ4,3,AUC_HV,48140.46751945693,48072.72128973949,48224.47731169674,30
IVFNSGAII,DTLZ4,3,Final_IGD,0.06709818277935375,0.0661098317832042,0.06806822610789035,30
IVFNSGAII,DTLZ4,3,Final_HV,0.5358680613392822,0.5328074716881808,0.5378734823360465,30
IVFNSGAII,DTLZ4,3,Best_IGD,0.06409790439398386,0.06395002028444005,0.0646202777555844,30
IVFNSGAII,DTLZ4,3,Best_HV,0.5410815238986972,0.5398485299037132,0.5417633904274203,30
IVFNSGAII,DTLZ4,3,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ4,3,TTT_igd_x1.0,60000.0,45000.0,80000.0,30
IVFNSGAII,DTLZ5,2,AUC_IGD,458.4489031611775,455.8228204872945,459.53036136850255,30
IVFNSGAII,DTLZ5,2,AUC_HV,31193.854545623915,31191.712132013017,31196.064732119674,30
IVFNSGAII,DTLZ5,2,Final_IGD,0.00514398641207065,0.00503988409381685,0.0052748018173915,30
IVFNSGAII,DTLZ5,2,Final_HV,0.3465766311257402,0.3465115441384715,0.34663203743230286,30
IVFNSGAII,DTLZ5,2,Best_IGD,0.0048331599271171,0.0047983286089261,0.004852130282080892,30
IVFNSGAII,DTLZ5,2,Best_HV,0.3468478572460426,0.34681570979615106,0.34687585469012,30
IVFNSGAII,DTLZ5,2,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,2,TTT_igd_x1.0,50000.0,30000.0,70000.0,30
IVFNSGAII,DTLZ5,3,AUC_IGD,523.762739183861,521.6610297980635,526.67948265664,30
IVFNSGAII,DTLZ5,3,AUC_HV,17920.72405271102,17918.804039818875,17922.462624380987,30
IVFNSGAII,DTLZ5,3,Final_IGD,0.00596916234060795,0.0057749796201046,0.00610501352641165,30
IVFNSGAII,DTLZ5,3,Final_HV,0.19914026040279065,0.1990562999220279,0.19922162408569977,30
IVFNSGAII,DTLZ5,3,Best_IGD,0.0054529332001277495,0.0053951688263516005,0.0054854049332626,30
IVFNSGAII,DTLZ5,3,Best_HV,0.19936171897427965,0.19932310090700076,0.1994586311989699,30
IVFNSGAII,DTLZ5,3,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ5,3,TTT_igd_x1.0,60000.0,40000.0,70000.0,30
IVFNSGAII,DTLZ6,2,AUC_IGD,509.76891609656997,507.840878898082,513.3178775176519,30
IVFNSGAII,DTLZ6,2,AUC_HV,31174.61603134646,31171.942364208393,31178.730733930868,30
IVFNSGAII,DTLZ6,2,Final_IGD,0.00568286809664615,0.0056178978746211,0.0058506292870498,30
IVFNSGAII,DTLZ6,2,Final_HV,0.3464637536554893,0.34641558512850357,0.3465058571648149,30
IVFNSGAII,DTLZ6,2,Best_IGD,0.00536975327917715,0.00526127251851205,0.00539531337512115,30
IVFNSGAII,DTLZ6,2,Best_HV,0.34668268083491305,0.34664553294493494,0.3467418237589064,30
IVFNSGAII,DTLZ6,2,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,2,TTT_igd_x1.0,50000.0,40000.0,80000.0,30
IVFNSGAII,DTLZ6,3,AUC_IGD,535.9807695757935,530.9546275148023,540.086640292683,30
IVFNSGAII,DTLZ6,3,AUC_HV,17947.938560654573,17945.99481996733,17949.886043061455,30
IVFNSGAII,DTLZ6,3,Final_IGD,0.0059198443743177,0.0057776622939,0.0060615078540622,30
IVFNSGAII,DTLZ6,3,Final_HV,0.19940479182491835,0.19934331532613794,0.1995102475731342,30
IVFNSGAII,DTLZ6,3,Best_IGD,0.005512722932813,0.00544026964273375,0.0055735597851584995,30
IVFNSGAII,DTLZ6,3,Best_HV,0.19963799986267566,0.19960327140198142,0.19966675177438464,30
IVFNSGAII,DTLZ6,3,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ6,3,TTT_igd_x1.0,60000.0,45000.0,70000.0,30
IVFNSGAII,DTLZ7,2,AUC_IGD,496.51470772441724,493.0656345910693,498.718125427432,30
IVFNSGAII,DTLZ7,2,AUC_HV,21831.85144386634,21830.05487587335,21834.28806556236,30
IVFNSGAII,DTLZ7,2,Final_IGD,0.0054793273384937,0.0054170651160704,0.00555403829887775,30
IVFNSGAII,DTLZ7,2,Final_HV,0.24266665579794225,0.24263931063812985,0.24268502829482647,30
IVFNSGAII,DTLZ7,2,Best_IGD,0.00509731797471375,0.00504191809270015,0.0051619653128885,30
IVFNSGAII,DTLZ7,2,Best_HV,0.2427756089817845,0.24276885711827415,0.24278637384522633,30
IVFNSGAII,DTLZ7,2,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x1.5,20000.0,10000.0,20000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x1.2,20000.0,20000.0,20000.0,30
IVFNSGAII,DTLZ7,2,TTT_igd_x1.0,50000.0,35000.0,55000.0,30
IVFNSGAII,DTLZ7,3,AUC_IGD,7032.70197921063,6960.548005946666,7157.930022702376,30
IVFNSGAII,DTLZ7,3,AUC_HV,24024.50721009459,24008.84985303883,24056.317790776106,30
IVFNSGAII,DTLZ7,3,Final_IGD,0.0766654386511594,0.07423520012856624,0.0788115602137193,30
IVFNSGAII,DTLZ7,3,Final_HV,0.26974987108420057,0.26870790458515004,0.2704508141663672,30
IVFNSGAII,DTLZ7,3,Best_IGD,0.07157849110114514,0.0709061492720279,0.0721613119216513,30
IVFNSGAII,DTLZ7,3,Best_HV,0.27101176215135064,0.2708404177763051,0.2713215893775713,30
IVFNSGAII,DTLZ7,3,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,DTLZ7,3,TTT_igd_x10,10000.0,10000.0,10000.0,30
