M,Reference,Algorithm,Wins,Losses,Ties,NumProblems
M2,SPEA2,IVFSPEA2,23,3,2,28
M2,SPEA2,MFOSPEA2,3,1,24,28
M2,SPEA2,SPEA2SDE,2,22,4,28
M2,SPEA2,NSGAII,1,25,2,28
M2,SPEA2,NSGAIII,10,14,4,28
M2,SPEA2,MOEAD,3,24,1,28
M2,SPEA2,AGEMOEAII,7,16,5,28
M2,SPEA2,ARMOEA,9,14,5,28
M3,SPEA2,IVFSPEA2,20,1,2,23
M3,SPEA2,MFOSPEA2,1,8,14,23
M3,SPEA2,SPEA2SDE,15,7,1,23
M3,SPEA2,NSGAII,1,22,0,23
M3,SPEA2,NSGAIII,10,13,0,23
M3,SPEA2,MOEAD,4,17,2,23
M3,SPEA2,AGEMOEAII,17,4,2,23
M3,SPEA2,ARMOEA,10,12,1,23
