algo,problem,M,run,n_checkpoints,fe_min,fe_max,AUC_IGD,AUC_HV,Final_IGD,Final_HV,Best_IGD,Best_HV,TTT_igd_x100,TTT_igd_x50,TTT_igd_x20,TTT_igd_x10,TTT_igd_x5,TTT_igd_x3,TTT_igd_x2,TTT_igd_x1.5,TTT_igd_x1.2,TTT_igd_x1.0
IVFNSGAII,DTLZ1,2,4020,10,10000.0,100000.0,290.4733455668515,52021.486237835474,0.0022357609644482,0.5811916477111809,0.0021590440679947,0.5813530728202656,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,30000.0,90000.0
IVFNSGAII,DTLZ1,2,4021,10,10000.0,100000.0,222.268253757265,52228.26866703734,0.0022941618225553,0.5812365710086735,0.0021335705141796,0.5816350702638794,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,30000.0,30000.0,50000.0
IVFNSGAII,DTLZ1,2,4022,10,10000.0,100000.0,257.4800072894345,52099.5807908228,0.0021980691897123,0.5811485761871014,0.0021980691897123,0.5811485761871014,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,100000.0
IVFNSGAII,DTLZ1,2,4023,10,10000.0,100000.0,204.52229078225798,52294.03259740162,0.0022633965199685,0.581451899445872,0.0020773446022201,0.58190001486713,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,30000.0,60000.0
IVFNSGAII,DTLZ1,2,4024,10,10000.0,100000.0,2024.9021938990477,49458.519376569515,0.0022521053686451,0.5815027500366406,0.0021448714786094,0.581753452591288,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,90000.0
IVFNSGAII,DTLZ1,2,4025,10,10000.0,100000.0,292.35906081852903,51992.650054719474,0.0023729811633203,0.5810186644049438,0.0021775453961793,0.5813402871595145,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,30000.0,50000.0,80000.0
IVFNSGAII,DTLZ1,2,4026,10,10000.0,100000.0,2442.793459762311,49130.8422613192,0.0020434143864374,0.5819867913555077,0.0020434143864374,0.5819867913555077,20000.0,20000.0,20000.0,20000.0,20000.0,30000.0,40000.0,40000.0,50000.0,100000.0
IVFNSGAII,DTLZ1,2,4027,10,10000.0,100000.0,249.41202654110148,52109.80551384523,0.0022348041728586,0.5812077310991144,0.0021770778103652,0.5812077310991144,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,30000.0,90000.0
IVFNSGAII,DTLZ1,2,4028,10,10000.0,100000.0,244.76864568542248,52177.5124474753,0.0024355290998665,0.5810545689750672,0.0021492061944642,0.5817073332673981,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,30000.0,30000.0,60000.0
IVFNSGAII,DTLZ1,2,4029,10,10000.0,100000.0,213.7963293433525,52277.279481061196,0.0021910533674519,0.5816224609822085,0.0021327119152343,0.5816628927949832,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,30000.0
IVFNSGAII,DTLZ1,2,4030,10,10000.0,100000.0,207.34336349383648,52305.910318642826,0.0021684213948991,0.5816676809583406,0.0021223822705865,0.5817724121527632,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,60000.0
IVFNSGAII,DTLZ1,3,4001,10,10000.0,100000.0,12726.95745309935,55760.6678661345,0.0273491633214031,0.8246156581864398,0.0259059207835607,0.8262388274617206,10000.0,10000.0,20000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,80000.0
