metric,M,problem,n_ivf,n_spea2,median_ivf,median_spea2,iqr_ivf,iqr_spea2,p_value,a12,sign
Spacing,M2,WFG7,0,60,,0.01057328653773525,,0.0016230997868673241,,,NA
Spacing,M2,WFG8,0,60,,0.0096977714100349,,0.002397268132516525,,,NA
Spacing,M2,WFG9,0,60,,0.0105657489867961,,0.001591245711624575,,,NA
Spacing,M2,ZDT1,0,60,,0.00328144145814945,,0.0004041260198013497,,,NA
Spacing,M2,ZDT2,0,60,,0.00317603623202195,,0.0004971817008781001,,,NA
Spacing,M2,ZDT3,0,60,,0.004018025582993251,,0.0006583760550992251,,,NA
Spacing,M2,ZDT4,0,60,,0.00294567323448795,,0.0004340449204240501,,,NA
Spacing,M2,ZDT6,0,60,,0.00243920879697685,,0.00031136560121374987,,,NA
Spacing,M3,DTLZ1,0,0,,,,,,,NA
Spacing,M3,DTLZ2,0,0,,,,,,,NA
Spacing,M3,DTLZ3,0,0,,,,,,,NA
Spacing,M3,DTLZ4,0,0,,,,,,,NA
Spacing,M3,DTLZ5,0,0,,,,,,,NA
Spacing,M3,DTLZ6,0,0,,,,,,,NA
Spacing,M3,DTLZ7,0,0,,,,,,,NA
Spacing,M3,MaF1,0,0,,,,,,,NA
Spacing,M3,MaF2,0,0,,,,,,,NA
Spacing,M3,MaF3,0,0,,,,,,,NA
Spacing,M3,MaF4,0,0,,,,,,,NA
Spacing,M3,MaF5,0,0,,,,,,,NA
Spacing,M3,MaF6,0,0,,,,,,,NA
Spacing,M3,MaF7,0,0,,,,,,,NA
Spacing,M3,WFG1,0,0,,,,,,,NA
Spacing,M3,WFG2,0,0,,,,,,,NA
Spacing,M3,WFG3,0,0,,,,,,,NA
Spacing,M3,WFG4,0,0,,,,,,,NA
Spacing,M3,WFG5,0,0,,,,,,,NA
Spacing,M3,WFG6,0,0,,,,,,,NA
Spacing,M3,WFG7,0,0,,,,,,,NA
Spacing,M3,WFG8,0,0,,,,,,,NA
Spacing,M3,WFG9,0,0,,,,,,,NA
Spread,M2,DTLZ1,0,60,,0.11512365826076,,0.017124679538970997,,,NA
Spread,M2,DTLZ2,0,60,,0.1322829299267405,,0.01786118589315601,,,NA
Spread,M2,DTLZ3,0,60,,0.1167848486747835,,0.02362144753168252,,,NA
Spread,M2,DTLZ4,0,59,,0.129849720083939,,0.022327473522914504,,,NA
Spread,M2,DTLZ5,0,60,,0.129838618314328,,0.014879693505705005,,,NA
Spread,M2,DTLZ6,0,60,,0.122935471493878,,0.020325462371534236,,,NA
Spread,M2,DTLZ7,0,60,,0.1386776837342355,,0.021772825090899006,,,NA
