comparison,ivf_algo,base_algo,metric,tau,M,geometry_group,n_traces_ivf,n_traces_base,auc_ivf,auc_base,delta_auc,final_frac_ivf,final_frac_base
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.25,2,irregular,120,120,0.8682575757575756,0.8818560606060606,-0.013598484848485026,0.9916666666666667,1.0
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.25,2,regular,720,720,0.793895202020202,0.7707449494949496,0.02315025252525238,0.9430555555555555,0.9416666666666667
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.25,3,irregular,210,210,0.8333549783549784,0.8191341991341993,0.014220779220779134,0.9857142857142858,0.9857142857142858
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.25,3,regular,480,480,0.720028409090909,0.7091003787878789,0.010928030303030134,0.9354166666666667,0.9145833333333333
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.1,2,irregular,120,120,0.8476893939393937,0.8617045454545456,-0.014015151515151869,0.9916666666666667,1.0
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.1,2,regular,720,720,0.6318623737373739,0.5941729797979799,0.03768939393939397,0.8097222222222222,0.7805555555555556
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.1,3,irregular,210,210,0.6444805194805197,0.6445887445887447,-0.00010822510822505738,0.8523809523809524,0.8523809523809524
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,IGD,0.1,3,regular,480,480,0.5139299242424241,0.49935606060606064,0.014573863636363482,0.7125,0.6895833333333333
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.5,2,irregular,120,120,0.8861363636363635,0.8975,-0.011363636363636465,0.9916666666666667,1.0
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.5,2,regular,720,720,0.8361363636363636,0.827739898989899,0.008396464646464596,0.9583333333333334,0.9597222222222223
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.5,3,irregular,210,210,0.8744372294372295,0.8705844155844156,0.0038528138528138856,0.9904761904761905,0.9857142857142858
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.5,3,regular,480,480,0.8233049242424242,0.8074810606060606,0.015823863636363567,0.9770833333333333,0.9854166666666667
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.25,2,irregular,120,120,0.8662878787878786,0.8803409090909091,-0.014053030303030511,0.9916666666666667,1.0
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.25,2,regular,720,720,0.7525820707070708,0.7049368686868687,0.04764520202020217,0.9236111111111112,0.9097222222222222
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.25,3,irregular,210,210,0.8156926406926407,0.8073809523809524,0.00831168831168827,0.9904761904761905,0.9857142857142858
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.25,3,regular,480,480,0.7045928030303028,0.6422632575757575,0.062329545454545277,0.9520833333333333,0.9354166666666667
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.1,2,irregular,120,120,0.8204545454545453,0.8433333333333333,-0.022878787878787943,0.9916666666666667,1.0
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.1,2,regular,720,720,0.6102651515151515,0.5538699494949495,0.056395202020201984,0.8027777777777778,0.7430555555555556
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.1,3,irregular,210,210,0.671060606060606,0.6313852813852814,0.03967532467532464,0.9095238095238095,0.8904761904761904
IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,HV,0.1,3,regular,480,480,0.4549431818181819,0.39996212121212116,0.05498106060606073,0.73125,0.5979166666666667
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.5,2,irregular,120,120,0.8746969696969696,0.8878030303030302,-0.013106060606060566,0.9833333333333333,1.0
IVFSPEA2_vs_SPEA2,IVFSPEA2,SPEA2,IGD,0.5,2,regular,720,720,0.8643813131313132,0.8472727272727273,0.01710858585858588,0.9638888888888889,0.9583333333333334
