metric,suite,problem,M,baseline,A12,significant,p_value
IGD,DTLZ,DTLZ3,M2,NSGAIII,0.7305555555555555,True,1.3383082576939615e-05
IGD,DTLZ,DTLZ3,M2,MOEAD,0.8213888888888888,True,1.2786980754932149e-09
IGD,DTLZ,DTLZ3,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ3,M2,ARMOEA,0.8475,True,5.258645467219707e-11
IGD,DTLZ,DTLZ4,M2,SPEA2,0.7155555555555555,True,4.6948725649538774e-05
IGD,DTLZ,DTLZ4,M2,MFOSPEA2,0.7172222222222222,True,4.0992864729933515e-05
IGD,DTLZ,DTLZ4,M2,SPEA2SDE,0.8583333333333333,True,1.3046675793410337e-11
IGD,DTLZ,DTLZ4,M2,NSGAII,0.8666666666666667,True,4.341962187166772e-12
IGD,DTLZ,DTLZ4,M2,NSGAIII,0.17194444444444446,True,5.790946425301679e-10
IGD,DTLZ,DTLZ4,M2,MOEAD,0.08,True,2.1336791171661242e-15
IGD,DTLZ,DTLZ4,M2,AGEMOEAII,0.8361111111111111,True,2.1780820981159448e-10
IGD,DTLZ,DTLZ4,M2,ARMOEA,0.4177777777777778,False,0.12090820999933773
IGD,DTLZ,DTLZ5,M2,SPEA2,0.8036111111111112,True,9.80095673602761e-09
IGD,DTLZ,DTLZ5,M2,MFOSPEA2,0.8052777777777778,True,8.135349253210223e-09
IGD,DTLZ,DTLZ5,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M2,NSGAIII,0.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M2,MOEAD,0.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ5,M2,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M2,SPEA2,0.8080555555555555,True,5.951455309680416e-09
IGD,DTLZ,DTLZ6,M2,MFOSPEA2,0.7288888888888889,True,1.5444319825791772e-05
IGD,DTLZ,DTLZ6,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M2,NSGAIII,0.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M2,MOEAD,0.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ6,M2,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ7,M2,SPEA2,0.6363888888888889,True,0.010039746753762605
IGD,DTLZ,DTLZ7,M2,MFOSPEA2,0.5369444444444444,False,0.48677669181365935
IGD,DTLZ,DTLZ7,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ7,M2,NSGAII,0.9994444444444445,True,3.931323565143429e-21
IGD,DTLZ,DTLZ7,M2,NSGAIII,0.9991666666666666,True,4.133088336365412e-21
IGD,DTLZ,DTLZ7,M2,MOEAD,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ7,M2,AGEMOEAII,0.9997222222222222,True,3.7393064081683805e-21
IGD,DTLZ,DTLZ7,M2,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ1,M3,SPEA2,0.5608333333333333,False,0.251452888068492
IGD,DTLZ,DTLZ1,M3,MFOSPEA2,0.6791666666666667,True,0.0007176452489296917
IGD,DTLZ,DTLZ1,M3,SPEA2SDE,0.93,True,4.575494631272002e-16
IGD,DTLZ,DTLZ1,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ1,M3,NSGAIII,0.9844444444444445,True,5.640800572904033e-20
IGD,DTLZ,DTLZ1,M3,MOEAD,0.9838888888888889,True,6.216166216570142e-20
IGD,DTLZ,DTLZ1,M3,AGEMOEAII,0.39666666666666667,False,0.051191696912809295
IGD,DTLZ,DTLZ1,M3,ARMOEA,0.9844444444444445,True,5.640800572904033e-20
IGD,DTLZ,DTLZ2,M3,SPEA2,0.7838888888888889,True,8.254078546805342e-08
IGD,DTLZ,DTLZ2,M3,MFOSPEA2,0.7611111111111111,True,8.176946606693802e-07
IGD,DTLZ,DTLZ2,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ2,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ2,M3,NSGAIII,0.95,True,1.8931234124387105e-17
IGD,DTLZ,DTLZ2,M3,MOEAD,0.95,True,1.8931234124387105e-17
IGD,DTLZ,DTLZ2,M3,AGEMOEAII,0.2386111111111111,True,7.960032606745764e-07
IGD,DTLZ,DTLZ2,M3,ARMOEA,0.95,True,1.8931234124387105e-17
IGD,DTLZ,DTLZ3,M3,SPEA2,0.6458333333333334,True,0.005906794153805775
IGD,DTLZ,DTLZ3,M3,MFOSPEA2,0.6761111111111111,True,0.0008841451175863792
IGD,DTLZ,DTLZ3,M3,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ3,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,DTLZ,DTLZ3,M3,NSGAIII,0.9811111111111112,True,1.0086075021814828e-19
IGD,DTLZ,DTLZ3,M3,MOEAD,0.9797222222222223,True,1.28344834556047e-19
IGD,DTLZ,DTLZ3,M3,AGEMOEAII,0.39194444444444443,True,0.041440429590598446
IGD,DTLZ,DTLZ3,M3,ARMOEA,0.9813888888888889,True,9.610709904583695e-20
