slot,problem,M,role
1,DTLZ5,2,strong_both_dtlz
2,MaF1,2,strong_both_maf
3,WFG8,2,difficult_wfg
4,ZDT4,2,spea2_wins_zdt
5,DTLZ5,3,nsgaiii_drops_m3
6,WFG2,2,spea2_loss_wfg
