Grupo,Algoritmo,Problema,Run,M,D,arquivo_original,IGD,runtime,HV,Spread,IGDp,Spacing
DTLZ,IVFSPEA2,DTLZ1,15,M3,D7,IVFSPEA2_DTLZ1_M3_D7_15.mat,0.0200078513020076,22.98706299999997,0.842157061286497,,,
DTLZ,IVFSPEA2,DTLZ1,15,M2,D6,IVFSPEA2_DTLZ1_M2_D6_15.mat,0.001827399760356,10.248575000000006,0.5822810113289401,0.0877556616707223,0.0013601121524311,0.0010703529840044
DTLZ,IVFSPEA2,DTLZ1,16,M2,D6,IVFSPEA2_DTLZ1_M2_D6_16.mat,0.0018566784458649,10.41273,0.5819049048184579,0.0963563320033375,0.0014752647033578,0.0011348289524818
DTLZ,IVFSPEA2,DTLZ1,16,M3,D7,IVFSPEA2_DTLZ1_M3_D7_16.mat,0.0200881817001334,22.455354000000032,0.842368273087579,,,
DTLZ,IVFSPEA2,DTLZ1,17,M3,D7,IVFSPEA2_DTLZ1_M3_D7_17.mat,0.0200163265139175,22.42017599999999,0.841825376281974,,,
DTLZ,IVFSPEA2,DTLZ1,17,M2,D6,IVFSPEA2_DTLZ1_M2_D6_17.mat,0.0018242890413994,10.505542000000004,0.5825101288804622,0.0932942947026702,0.0012905596116403,0.0011056511496739
DTLZ,IVFSPEA2,DTLZ1,18,M3,D7,IVFSPEA2_DTLZ1_M3_D7_18.mat,0.0200685278737739,22.484939999999973,0.842630088542789,,,
DTLZ,IVFSPEA2,DTLZ1,18,M2,D6,IVFSPEA2_DTLZ1_M2_D6_18.mat,0.0018746635631576,10.29011000000001,0.5817952849967448,0.0964076798732788,0.001509097897005,0.0011281906776552
DTLZ,IVFSPEA2,DTLZ1,19,M3,D7,IVFSPEA2_DTLZ1_M3_D7_19.mat,0.0199382354767302,22.39684499999999,0.842419557933539,,,
DTLZ,IVFSPEA2,DTLZ1,19,M2,D6,IVFSPEA2_DTLZ1_M2_D6_19.mat,0.0018774692004458,11.127537,0.5817987060148205,0.1051093540361715,0.0015077850457186,0.0012642649519034
DTLZ,IVFSPEA2,DTLZ1,20,M3,D7,IVFSPEA2_DTLZ1_M3_D7_20.mat,0.0200155877164586,22.052207999999982,0.842639804784111,,,
DTLZ,IVFSPEA2,DTLZ1,20,M2,D6,IVFSPEA2_DTLZ1_M2_D6_20.mat,0.0018898232880353,10.045747999999998,0.5816391896099017,0.0950562984036492,0.0015571625237635,0.0011628625113232
DTLZ,IVFSPEA2,DTLZ1,21,M3,D7,IVFSPEA2_DTLZ1_M3_D7_21.mat,0.0202577067249426,22.638675000000003,0.842758678853108,,,
DTLZ,IVFSPEA2,DTLZ1,21,M2,D6,IVFSPEA2_DTLZ1_M2_D6_21.mat,0.0018564719531652,10.535171000000007,0.5821370821982121,0.0965417933648599,0.0014045091711054,0.0010388687790343
DTLZ,IVFSPEA2,DTLZ1,22,M3,D7,IVFSPEA2_DTLZ1_M3_D7_22.mat,0.0200679862229535,22.09380800000001,0.842501885467348,,,
DTLZ,IVFSPEA2,DTLZ1,22,M2,D6,IVFSPEA2_DTLZ1_M2_D6_22.mat,0.0018166374664089,10.866032,0.5825264265050121,0.0882224994924283,0.0012856191777643,0.0010120462413897
DTLZ,IVFSPEA2,DTLZ1,23,M3,D7,IVFSPEA2_DTLZ1_M3_D7_23.mat,0.0201934005660302,22.664592000000003,0.84225188769502,,,
DTLZ,IVFSPEA2,DTLZ1,23,M2,D6,IVFSPEA2_DTLZ1_M2_D6_23.mat,0.0018330016486772,10.678766,0.582470021193417,0.1035935995456362,0.0013026837515417,0.0012981121402694
