Grupo,Algoritmo,Problema,Run,M,D,IGDp,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,48,M2,D6,0.0013152002246869657,IVFSPEA2_DTLZ1_M2_D6_48.mat
DTLZ,IVFSPEA2,DTLZ1,49,M2,D6,0.0013060957434499613,IVFSPEA2_DTLZ1_M2_D6_49.mat
DTLZ,IVFSPEA2,DTLZ1,50,M2,D6,0.0012965832914075635,IVFSPEA2_DTLZ1_M2_D6_50.mat
DTLZ,IVFSPEA2,DTLZ1,51,M2,D6,0.0013060237935006939,IVFSPEA2_DTLZ1_M2_D6_51.mat
DTLZ,IVFSPEA2,DTLZ1,52,M2,D6,0.001317155446922783,IVFSPEA2_DTLZ1_M2_D6_52.mat
DTLZ,IVFSPEA2,DTLZ1,53,M2,D6,0.0013073530590718655,IVFSPEA2_DTLZ1_M2_D6_53.mat
DTLZ,IVFSPEA2,DTLZ1,54,M2,D6,0.0013288034892300366,IVFSPEA2_DTLZ1_M2_D6_54.mat
DTLZ,IVFSPEA2,DTLZ1,55,M2,D6,0.0013165197329503013,IVFSPEA2_DTLZ1_M2_D6_55.mat
DTLZ,IVFSPEA2,DTLZ1,56,M2,D6,0.0013965681571871684,IVFSPEA2_DTLZ1_M2_D6_56.mat
DTLZ,IVFSPEA2,DTLZ1,57,M2,D6,0.0013536451319280623,IVFSPEA2_DTLZ1_M2_D6_57.mat
DTLZ,IVFSPEA2,DTLZ1,58,M2,D6,0.0019667848489632804,IVFSPEA2_DTLZ1_M2_D6_58.mat
DTLZ,IVFSPEA2,DTLZ1,59,M2,D6,0.0014220815769618246,IVFSPEA2_DTLZ1_M2_D6_59.mat
DTLZ,IVFSPEA2,DTLZ1,60,M2,D6,0.0012854107913437662,IVFSPEA2_DTLZ1_M2_D6_60.mat
DTLZ,IVFSPEA2,DTLZ2,1,M2,D11,0.0018286673327275861,IVFSPEA2_DTLZ2_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ2,2,M2,D11,0.0018476248806038192,IVFSPEA2_DTLZ2_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ2,3,M2,D11,0.001858013951672392,IVFSPEA2_DTLZ2_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ2,4,M2,D11,0.001920322728452031,IVFSPEA2_DTLZ2_M2_D11_4.mat
