Grupo,Algoritmo,Problema,Run,M,D,runtime,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,25,M3,D7,21.246027999999992,IVFSPEA2_DTLZ1_M3_D7_25.mat
DTLZ,IVFSPEA2,DTLZ1,25,M2,D6,10.238356999999992,IVFSPEA2_DTLZ1_M2_D6_25.mat
DTLZ,IVFSPEA2,DTLZ1,26,M2,D6,10.531245999999996,IVFSPEA2_DTLZ1_M2_D6_26.mat
DTLZ,IVFSPEA2,DTLZ1,26,M3,D7,21.620940999999984,IVFSPEA2_DTLZ1_M3_D7_26.mat
DTLZ,IVFSPEA2,DTLZ1,27,M2,D6,10.651124999999997,IVFSPEA2_DTLZ1_M2_D6_27.mat
DTLZ,IVFSPEA2,DTLZ1,27,M3,D7,21.315383999999984,IVFSPEA2_DTLZ1_M3_D7_27.mat
DTLZ,IVFSPEA2,DTLZ1,28,M3,D7,21.825437,IVFSPEA2_DTLZ1_M3_D7_28.mat
DTLZ,IVFSPEA2,DTLZ1,28,M2,D6,9.88757200000001,IVFSPEA2_DTLZ1_M2_D6_28.mat
DTLZ,IVFSPEA2,DTLZ1,29,M2,D6,10.538254000000007,IVFSPEA2_DTLZ1_M2_D6_29.mat
DTLZ,IVFSPEA2,DTLZ1,29,M3,D7,20.75738199999999,IVFSPEA2_DTLZ1_M3_D7_29.mat
DTLZ,IVFSPEA2,DTLZ1,30,M3,D7,22.341091000000013,IVFSPEA2_DTLZ1_M3_D7_30.mat
DTLZ,IVFSPEA2,DTLZ1,30,M2,D6,10.672626999999995,IVFSPEA2_DTLZ1_M2_D6_30.mat
DTLZ,IVFSPEA2,DTLZ1,31,M3,D7,21.30524799999996,IVFSPEA2_DTLZ1_M3_D7_31.mat
DTLZ,IVFSPEA2,DTLZ1,31,M2,D6,10.194895999999998,IVFSPEA2_DTLZ1_M2_D6_31.mat
DTLZ,IVFSPEA2,DTLZ1,32,M2,D6,10.843558999999997,IVFSPEA2_DTLZ1_M2_D6_32.mat
