Grupo,Algoritmo,Problema,Run,M,D,HV,arquivo_original
DTLZ,IVFSPEA2,DTLZ1,49,M2,D6,0.5824588009393401,IVFSPEA2_DTLZ1_M2_D6_49.mat
DTLZ,IVFSPEA2,DTLZ1,50,M2,D6,0.582490245299267,IVFSPEA2_DTLZ1_M2_D6_50.mat
DTLZ,IVFSPEA2,DTLZ1,51,M2,D6,0.582459022537373,IVFSPEA2_DTLZ1_M2_D6_51.mat
DTLZ,IVFSPEA2,DTLZ1,52,M2,D6,0.5824222869844676,IVFSPEA2_DTLZ1_M2_D6_52.mat
DTLZ,IVFSPEA2,DTLZ1,53,M2,D6,0.5824546463569991,IVFSPEA2_DTLZ1_M2_D6_53.mat
DTLZ,IVFSPEA2,DTLZ1,54,M2,D6,0.5823839061805038,IVFSPEA2_DTLZ1_M2_D6_54.mat
DTLZ,IVFSPEA2,DTLZ1,55,M2,D6,0.5824243824408327,IVFSPEA2_DTLZ1_M2_D6_55.mat
DTLZ,IVFSPEA2,DTLZ1,56,M2,D6,0.5821613862930608,IVFSPEA2_DTLZ1_M2_D6_56.mat
DTLZ,IVFSPEA2,DTLZ1,57,M2,D6,0.5823023166160755,IVFSPEA2_DTLZ1_M2_D6_57.mat
DTLZ,IVFSPEA2,DTLZ1,58,M2,D6,0.5803365008467165,IVFSPEA2_DTLZ1_M2_D6_58.mat
DTLZ,IVFSPEA2,DTLZ1,59,M2,D6,0.5820777706007789,IVFSPEA2_DTLZ1_M2_D6_59.mat
DTLZ,IVFSPEA2,DTLZ1,60,M2,D6,0.5825271505092633,IVFSPEA2_DTLZ1_M2_D6_60.mat
DTLZ,IVFSPEA2,DTLZ2,1,M2,D11,0.3474606109238843,IVFSPEA2_DTLZ2_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ2,2,M2,D11,0.3473928247485608,IVFSPEA2_DTLZ2_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ2,3,M2,D11,0.34733513463954563,IVFSPEA2_DTLZ2_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ2,4,M2,D11,0.347229886351477,IVFSPEA2_DTLZ2_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ2,5,M2,D11,0.3474108967951313,IVFSPEA2_DTLZ2_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ2,6,M2,D11,0.3473531211488984,IVFSPEA2_DTLZ2_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ2,7,M2,D11,0.3473631318332488,IVFSPEA2_DTLZ2_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ2,8,M2,D11,0.3474321559617098,IVFSPEA2_DTLZ2_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ2,9,M2,D11,0.34714295365417264,IVFSPEA2_DTLZ2_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ2,10,M2,D11,0.34755774841988823,IVFSPEA2_DTLZ2_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ2,11,M2,D11,0.3473128834551197,IVFSPEA2_DTLZ2_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ2,12,M2,D11,0.3474390534573124,IVFSPEA2_DTLZ2_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ2,13,M2,D11,0.3474435136452452,IVFSPEA2_DTLZ2_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ2,14,M2,D11,0.3473093917740925,IVFSPEA2_DTLZ2_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ2,15,M2,D11,0.3473038452829474,IVFSPEA2_DTLZ2_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ2,16,M2,D11,0.34732648341815614,IVFSPEA2_DTLZ2_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ2,17,M2,D11,0.3474461271234874,IVFSPEA2_DTLZ2_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ2,18,M2,D11,0.3474634290573211,IVFSPEA2_DTLZ2_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ2,19,M2,D11,0.347389565597237,IVFSPEA2_DTLZ2_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ2,20,M2,D11,0.3474214528860335,IVFSPEA2_DTLZ2_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ2,21,M2,D11,0.3473962588809444,IVFSPEA2_DTLZ2_M2_D11_21.mat
