method,validation,balanced_accuracy,mcc,sensitivity,specificity
RF (static features),LOOCV,0.526829268292683,0.058580291870011396,0.8536585365853658,0.2
LogReg (static features),LOOCV,0.7158536585365853,0.3586642707712381,0.7317073170731707,0.7
RBF-SVC (static features),LOOCV,0.6902439024390243,0.33153989079293594,0.7804878048780488,0.6
RF (static features),LFO-CV,0.4878048780487805,-0.06984302957695783,0.975609756097561,0.0
LogReg (static features),LFO-CV,0.43902439024390244,-0.16282240225645903,0.8780487804878049,0.0
RBF-SVC (static features),LFO-CV,0.4878048780487805,-0.06984302957695783,0.975609756097561,0.0
Early-turnover threshold,LOOCV,0.7914634146341464,0.46729984097115257,0.6829268292682927,0.9
Early-turnover threshold,LFO-CV,0.7536585365853659,0.41254902195417,0.7073170731707317,0.8
