Grupo,Algoritmo,Problema,Run,M,D,arquivo_original,IGD,runtime,HV,Spread,IGDp,Spacing
DTLZ,AGEMOEAII,DTLZ1,30,M2,D6,AGEMOEAII_DTLZ1_M2_D6_30.mat,0.00204755225170958,9.138455,0.581978999620523,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,31,M2,D6,AGEMOEAII_DTLZ1_M2_D6_31.mat,0.00199357352140941,8.20009100000001,0.582105590275227,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,32,M2,D6,AGEMOEAII_DTLZ1_M2_D6_32.mat,0.00199100886538501,8.392944,0.582120649223528,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,33,M2,D6,AGEMOEAII_DTLZ1_M2_D6_33.mat,0.00195489413543436,8.474065,0.582124192745272,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,34,M2,D6,AGEMOEAII_DTLZ1_M2_D6_34.mat,0.00198077151603806,7.537496,0.582120048215378,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,35,M2,D6,AGEMOEAII_DTLZ1_M2_D6_35.mat,0.00201882585286594,7.356044,0.582053118245009,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,36,M2,D6,AGEMOEAII_DTLZ1_M2_D6_36.mat,0.0020751173988373,7.763797,0.581905618800052,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,37,M2,D6,AGEMOEAII_DTLZ1_M2_D6_37.mat,0.00198828418537648,7.27794,0.582105518298634,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,38,M2,D6,AGEMOEAII_DTLZ1_M2_D6_38.mat,0.00198383825154831,8.66093200000001,0.582097116986096,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,39,M2,D6,AGEMOEAII_DTLZ1_M2_D6_39.mat,0.00215044564519053,7.962032,0.581720423612921,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,40,M2,D6,AGEMOEAII_DTLZ1_M2_D6_40.mat,0.00209654651172948,8.266194,0.581874332780368,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,41,M2,D6,AGEMOEAII_DTLZ1_M2_D6_41.mat,0.00194965291066391,8.00193400000002,0.58221855942646,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,42,M2,D6,AGEMOEAII_DTLZ1_M2_D6_42.mat,0.00214540588181506,7.98443999999999,0.581723903947922,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,43,M2,D6,AGEMOEAII_DTLZ1_M2_D6_43.mat,0.00206846904763751,7.06830799999999,0.581908436309561,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,44,M2,D6,AGEMOEAII_DTLZ1_M2_D6_44.mat,0.00197285053732964,8.03324399999999,0.58212614973861,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,45,M2,D6,AGEMOEAII_DTLZ1_M2_D6_45.mat,0.00213398611411182,7.296966,0.581762491817697,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,46,M2,D6,AGEMOEAII_DTLZ1_M2_D6_46.mat,0.00200373075251325,9.001169,0.582074427091538,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,47,M2,D6,AGEMOEAII_DTLZ1_M2_D6_47.mat,0.00196334836221916,8.61813499999998,0.58217281468388,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,48,M2,D6,AGEMOEAII_DTLZ1_M2_D6_48.mat,0.00202494006582346,7.712631,0.582035017151943,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,49,M2,D6,AGEMOEAII_DTLZ1_M2_D6_49.mat,0.00198480699109833,7.984838,0.582113633258319,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,50,M2,D6,AGEMOEAII_DTLZ1_M2_D6_50.mat,0.0019974204050302,7.409402,0.582106926483746,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,51,M2,D6,AGEMOEAII_DTLZ1_M2_D6_51.mat,0.0020607527252066,7.804618,0.581940077586016,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,52,M2,D6,AGEMOEAII_DTLZ1_M2_D6_52.mat,0.00203873511292179,7.261936,0.581980747453567,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,53,M2,D6,AGEMOEAII_DTLZ1_M2_D6_53.mat,0.0019591565924611,7.51356299999999,0.582183041432083,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,54,M2,D6,AGEMOEAII_DTLZ1_M2_D6_54.mat,0.00212696648743278,9.59600000000001,0.581629720861126,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,55,M2,D6,AGEMOEAII_DTLZ1_M2_D6_55.mat,0.00208655629594254,7.42123299999999,0.581894298075383,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,56,M2,D6,AGEMOEAII_DTLZ1_M2_D6_56.mat,0.00199723378197184,7.83892200000001,0.582092206235471,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,57,M2,D6,AGEMOEAII_DTLZ1_M2_D6_57.mat,0.00211166092102787,7.61354799999999,0.581837582950765,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,58,M2,D6,AGEMOEAII_DTLZ1_M2_D6_58.mat,0.00208162672500817,7.5611,0.581885747862175,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,59,M2,D6,AGEMOEAII_DTLZ1_M2_D6_59.mat,0.00196808644119825,7.59706499999999,0.582174148340331,NaN,NaN,NaN
DTLZ,AGEMOEAII,DTLZ1,60,M2,D6,AGEMOEAII_DTLZ1_M2_D6_60.mat,0.00201946611840011,7.231158,0.582031355336077,NaN,NaN,NaN
