instance,M,D,n_runs_spea2,n_runs_ivf,median_igd_spea2,median_igd_ivf,delta_igd,delta_pct,wilcoxon_p,a12,label,label_binary
DTLZ1_M2,M2,D6,60,60,0.0018341394130401,0.0018257656624906002,8.373750549499825e-06,0.4565492944519561,1.0129440238323257e-06,0.7588888888888888,HELPS,HELPS
DTLZ1_M3,M3,D7,60,60,0.020106094205993748,0.02008858482020785,1.750938578589864e-05,0.08708496840067022,0.251452888068492,0.5608333333333333,NEUTRAL,NOT_HELPS
DTLZ2_M2,M2,D11,60,60,0.00418100382446195,0.004121174652654399,5.9829171807550784e-05,1.4309762516242173,6.73034238497736e-08,0.7858333333333334,HELPS,HELPS
DTLZ2_M3,M3,D12,60,60,0.05424000057341885,0.053725462043217945,0.0005145385302009059,0.9486329733799145,8.254078546805342e-08,0.7838888888888889,HELPS,HELPS
DTLZ3_M2,M2,D11,60,60,0.0042939187025745,0.00404793032667695,0.00024598837589755,5.728761835897429,1.5795616385044056e-17,0.9511111111111111,HELPS,HELPS
DTLZ3_M3,M3,D12,60,60,0.0532882754632287,0.05301341506056595,0.00027486040266275213,0.5157990200910482,0.005906794153805775,0.6458333333333334,HELPS,HELPS
DTLZ4_M2,M2,D11,60,60,0.00416475354508685,0.0041117571637087,5.2996381378150013e-05,1.2724974192211138,4.6948725649538774e-05,0.7155555555555555,HELPS,HELPS
DTLZ4_M3,M3,D12,60,60,0.0549836185510664,0.05447963984648435,0.0005039787045820476,0.916597921095306,0.009446662644973153,0.6375,HELPS,HELPS
DTLZ5_M2,M2,D11,60,60,0.0041740627226965,0.00412167735220955,5.238537048694956e-05,1.2550211620468394,9.80095673602761e-09,0.8036111111111112,HELPS,HELPS
DTLZ5_M3,M3,D12,60,60,0.0044071630883601495,0.0042788651243643,0.0001282979639958496,2.9111235827578072,2.331729133806294e-10,0.8355555555555556,HELPS,HELPS
DTLZ6_M2,M2,D11,60,60,0.004093124659048,0.0040582664004898995,3.4858258558100735e-05,0.8516295363994179,5.951455309680416e-09,0.8080555555555555,HELPS,HELPS
DTLZ6_M3,M3,D12,60,60,0.004082885816618,0.0040470176425589505,3.586817405904982e-05,0.8785005427548476,1.9060376716772359e-06,0.7522222222222222,HELPS,HELPS
DTLZ7_M2,M2,D21,60,60,0.00477429662951355,0.0047250799632879,4.9216666225649665e-05,1.030867372617866,0.010039746753762605,0.6363888888888889,HELPS,HELPS
DTLZ7_M3,M3,D22,60,60,0.060587852895987296,0.0599850989668732,0.0006027539291140957,0.994842860909527,0.010348545242541524,0.6358333333333334,HELPS,HELPS
MaF1_M2,M2,D11,60,60,0.0038039315396105004,0.0037353057061909,6.862583341960037e-05,1.8040764589214255,2.0571849835052572e-12,0.8722222222222222,HELPS,HELPS
MaF1_M3,M3,D12,60,60,0.0417234503887379,0.04114747607023925,0.000575974318498651,1.3804570646298213,1.0016799339954478e-12,0.8775,HELPS,HELPS
MaF2_M2,M2,D11,60,60,0.0021890444626624997,0.00211446515941885,7.457930324364977e-05,3.406934144815869,1.3173623434947598e-17,0.9522222222222222,HELPS,HELPS
MaF2_M3,M3,D12,60,60,0.03233035843814765,0.0310791484211045,0.0012512100170431473,3.8700777767029133,4.623374581637818e-07,0.7669444444444444,HELPS,HELPS
MaF3_M2,M2,D11,60,60,0.00420216846843205,0.0037721026421917497,0.00043006582624030044,10.234378499364885,1.0086075021814828e-19,0.9811111111111112,HELPS,HELPS
MaF3_M3,M3,D12,60,60,0.033261271718658,0.0324767562561937,0.0007845154624643025,2.3586454213181103,7.664991130625401e-13,0.8794444444444445,HELPS,HELPS
MaF4_M2,M2,D11,60,60,0.01266500027136085,0.01246390140349285,0.00020109886786799994,1.5878315322482968,6.615360470804152e-10,0.8269444444444445,HELPS,HELPS
MaF4_M3,M3,D12,60,60,0.24174674691034848,0.239235016014736,0.002511730895612463,1.0389926349428542,9.734567564713231e-05,0.7063888888888888,HELPS,HELPS
MaF5_M2,M2,D11,60,60,0.01285372847248825,0.0127010501506136,0.00015267832187465004,1.187813498639234,0.003990921984611365,0.6525,HELPS,HELPS
MaF5_M3,M3,D12,60,60,0.24704073000052001,0.24755897503234198,-0.0005182450318219622,-0.2097812096899452,0.5478605382101781,0.5319444444444444,NEUTRAL,NOT_HELPS
MaF6_M2,M2,D11,60,60,0.0040891875962685495,0.0040509652012231,3.822239504544956e-05,0.9347185509495364,1.197724428391763e-09,0.8219444444444445,HELPS,HELPS
MaF6_M3,M3,D12,60,60,0.00408784178107915,0.00405358394274035,3.42578383388005e-05,0.8380421790629277,3.413576835384452e-07,0.77,HELPS,HELPS
MaF7_M2,M2,D21,60,60,0.0047839910171274,0.0047247571071594,5.923390996799994e-05,1.2381693392803985,0.00848358141317297,0.6394444444444445,HELPS,HELPS
MaF7_M3,M3,D22,60,60,0.060142089543766805,0.0594476497184779,0.0006944398252889047,1.154665277772806,0.001974291819957514,0.6638888888888889,HELPS,HELPS
WFG1_M2,M2,D11,60,60,0.0292511404250795,0.02220968806110575,0.007041452363973751,24.072402858989086,0.04091949471374556,0.6083333333333333,HELPS,HELPS
WFG1_M3,M3,D12,60,60,0.1526768295201435,0.152113497655549,0.0005633318645945073,0.3689701091940633,0.5869686192952058,0.5288888888888889,NEUTRAL,NOT_HELPS
WFG2_M2,M2,D11,60,60,0.0110770246152068,0.0113765891255928,-0.0002995645103859995,-2.7043770397941547,5.019350885738354e-07,0.2338888888888889,HURTS,NOT_HELPS
WFG2_M3,M3,D12,60,60,0.1726091068363835,0.18177181864561148,-0.00916271180922798,-5.308359435469029,4.905063057299978e-14,0.10111111111111111,HURTS,NOT_HELPS
WFG3_M2,M2,D11,60,60,0.01203636143409715,0.01230257049461315,-0.0002662090605160001,-2.2117071008010027,0.00011567041416913156,0.29583333333333334,HURTS,NOT_HELPS
WFG3_M3,M3,D12,60,60,0.09621225998485865,0.0874574087787776,0.008754851206081049,9.099517262622081,4.870894603796619e-08,0.7888888888888889,HELPS,HELPS
WFG4_M2,M2,D11,60,60,0.01289092475863135,0.0126262036669837,0.0002647210916476503,2.053546169916177,3.7462303521192323e-10,0.8316666666666667,HELPS,HELPS
WFG4_M3,M3,D12,60,60,0.2151413485085325,0.21242828158598898,0.0027130669225435278,1.2610625253359549,6.5384003124538474e-09,0.8072222222222222,HELPS,HELPS
WFG5_M2,M2,D11,60,60,0.0636528201456833,0.06347150407651089,0.00018131606917240473,0.2848515882837925,1.8954942689030208e-13,0.8894444444444445,HELPS,HELPS
WFG5_M3,M3,D12,60,60,0.22277862221648748,0.220575257119681,0.0022033650968064644,0.9890379403932759,8.008586969540811e-11,0.8441666666666666,HELPS,HELPS
WFG6_M2,M2,D11,60,60,0.0763566150933066,0.0831309028729597,-0.006774287779653096,-8.871906869332829,0.14671063961713326,0.4230555555555556,NEUTRAL,NOT_HELPS
