early_frac,early_frac_pct,n_cases,n_helps,n_not_helps,median_helps,median_not_helps,a12,p_mannwhitney,balanced_accuracy,mcc,sensitivity,specificity
0.05,5.0,51,41,10,0.37693877551020405,0.33234693877551025,0.7170731707317073,0.035758273459281564,0.6939024390243902,0.3128491081335063,0.4878048780487805,0.9
0.1,10.0,51,41,10,0.28666666666666674,0.2573484848484849,0.748780487804878,0.016036184165118955,0.7048780487804878,0.3259341380258032,0.6097560975609756,0.8
0.15,15.0,51,41,10,0.26536912751677855,0.229244966442953,0.8073170731707318,0.002906174155828061,0.7170731707317073,0.34640578828310153,0.6341463414634146,0.8
0.2,20.0,51,41,10,0.25040201005025126,0.20889447236180905,0.848780487804878,0.0007227055637627409,0.7536585365853659,0.41254902195417,0.7073170731707317,0.8
0.25,25.0,51,41,10,0.2427309236947791,0.19028112449799198,0.8439024390243902,0.0008580158467097692,0.7536585365853659,0.41254902195417,0.7073170731707317,0.8
0.3,30.0,51,41,10,0.23309364548494982,0.17998327759197325,0.8292682926829268,0.0014177288329894687,0.7792682926829269,0.44565688492601263,0.6585365853658537,0.9
