case_id,problem,m,d,family,early_frac,label_binary,n_runs,ivf_turnover_early,spea2_turnover_early,label_binary_eval
dtlz4_m2,DTLZ4,2,11,DTLZ,0.3,HELPS,30,0.20486622073578595,0.20702341137123742,HELPS
dtlz5_m2,DTLZ5,2,11,DTLZ,0.05,HELPS,30,0.3601020408163266,0.36642857142857144,HELPS
dtlz5_m2,DTLZ5,2,11,DTLZ,0.1,HELPS,30,0.2738888888888889,0.2782323232323233,HELPS
dtlz5_m2,DTLZ5,2,11,DTLZ,0.15,HELPS,30,0.241006711409396,0.24436241610738255,HELPS
dtlz5_m2,DTLZ5,2,11,DTLZ,0.2,HELPS,30,0.2242211055276382,0.22653266331658295,HELPS
dtlz5_m2,DTLZ5,2,11,DTLZ,0.25,HELPS,30,0.21329317269076303,0.21598393574297192,HELPS
dtlz5_m2,DTLZ5,2,11,DTLZ,0.3,HELPS,30,0.2064715719063545,0.2088963210702341,HELPS
dtlz6_m2,DTLZ6,2,11,DTLZ,0.05,HELPS,30,0.4671428571428571,0.4140816326530612,HELPS
dtlz6_m2,DTLZ6,2,11,DTLZ,0.1,HELPS,30,0.27616161616161605,0.2671212121212121,HELPS
dtlz6_m2,DTLZ6,2,11,DTLZ,0.15,HELPS,30,0.20681208053691275,0.20419463087248324,HELPS
dtlz6_m2,DTLZ6,2,11,DTLZ,0.2,HELPS,30,0.17256281407035173,0.17394472361809046,HELPS
dtlz6_m2,DTLZ6,2,11,DTLZ,0.25,HELPS,30,0.1511847389558233,0.1554417670682731,HELPS
dtlz6_m2,DTLZ6,2,11,DTLZ,0.3,HELPS,30,0.1381939799331104,0.1431103678929766,HELPS
dtlz7_m2,DTLZ7,2,21,DTLZ,0.05,HELPS,30,0.5706122448979591,0.5255102040816326,HELPS
dtlz7_m2,DTLZ7,2,21,DTLZ,0.1,HELPS,30,0.4271717171717172,0.41202020202020206,HELPS
dtlz7_m2,DTLZ7,2,21,DTLZ,0.15,HELPS,30,0.3594295302013423,0.35144295302013423,HELPS
dtlz7_m2,DTLZ7,2,21,DTLZ,0.2,HELPS,30,0.32130653266331655,0.3156532663316583,HELPS
dtlz7_m2,DTLZ7,2,21,DTLZ,0.25,HELPS,30,0.2976104417670683,0.2952008032128514,HELPS
dtlz7_m2,DTLZ7,2,21,DTLZ,0.3,HELPS,30,0.28188963210702345,0.2814046822742475,HELPS
wfg1_m2,WFG1,2,11,WFG,0.05,HELPS,30,0.44479591836734694,0.44336734693877544,HELPS
wfg1_m2,WFG1,2,11,WFG,0.1,HELPS,30,0.33989898989898987,0.3655555555555555,HELPS
wfg1_m2,WFG1,2,11,WFG,0.15,HELPS,30,0.2694295302013423,0.304496644295302,HELPS
wfg1_m2,WFG1,2,11,WFG,0.2,HELPS,30,0.21979899497487437,0.2544723618090452,HELPS
wfg1_m2,WFG1,2,11,WFG,0.25,HELPS,30,0.18648594377510042,0.21682730923694776,HELPS
wfg1_m2,WFG1,2,11,WFG,0.3,HELPS,30,0.1631772575250836,0.19035117056856188,HELPS
wfg2_m2,WFG2,2,11,WFG,0.05,NOT_HELPS,30,0.3766326530612245,0.38091836734693874,NOT_HELPS
