display_order,case_id,display_label,problem,m,d,role,seed_base,run_selection,cycle_selection,bad_run_min_igd,notes,ivf_median_igd,spea2_median_igd,ivf_median_hv,spea2_median_hv,delta_median_igd,delta_median_hv,a12_igd_ivf_better,a12_hv_ivf_better,ivf_q1_igd,ivf_q3_igd,spea2_q1_igd,spea2_q3_igd,ivf_iqr_igd,positive_rank,negative_rank,bimodal_rank,supported_by_hv,supported_by_igd
1,positive_wfg7_m2,WFG7 (M=2),WFG7,2,12,positive,61000,closest_median,min_median_delta,,Out-of-sample positive case with Holm support — bi-objective for clear 2D visualisation.,0.013183301150508201,0.0137131375253036,0.34665966781781754,0.3462201542351035,0.0005298363747953984,0.00043951358271404617,0.8869444444444444,0.9025,0.0130881242013323,0.0133692481682894,0.013513060809629125,0.013979238245007176,0.00028112396695710064,16.0,36.0,27.0,True,True
2,negative_wfg2_m2,WFG2 (M=2),WFG2,2,12,negative,62000,closest_median,max_median_delta,,Known disconnected-front weakness — bi-objective for clear 2D visualisation.,0.0113765891255928,0.0110770246152068,0.6324550480239455,0.633176855983451,-0.0002995645103859995,-0.0007218079595054938,0.2338888888888889,0.1275,0.0110701832812572,0.011719545692926775,0.010958417560314276,0.011204655842625276,0.000649362411669574,47.0,5.0,22.0,False,False
3,bimodal_dtlz4_m2,DTLZ4 (M=2),DTLZ4,2,12,bimodal,63000,q1_q3,minmax_median_delta,0.1,Bimodal case — bi-objective for clear 2D visualisation.,0.0041117571637087,0.00416475354508685,0.3474120381953665,0.34728570309011,5.2996381378150013e-05,0.00012633510525650316,0.7155555555555555,0.7480555555555556,0.004085141694621375,0.00416299460169445,0.00413223388485235,0.004207527376539875,7.785290707307529e-05,34.0,18.0,37.0,True,True
4,positive_wfg3_m3,WFG3 (M=3),WFG3,3,12,positive,51000,closest_median,min_median_delta,,Strong positive case — tri-objective for 3D visualisation.,0.0874574087787776,0.09621225998485865,0.39581078182158147,0.38912865746416503,0.008754851206081049,0.006682124357416441,0.7888888888888889,0.9275,0.08326456520836628,0.09365323735935235,0.09195447824408323,0.10183713750311825,0.010388672150986072,1.0,51.0,6.0,True,True
5,negative_wfg2_m3,WFG2 (M=3),WFG2,3,12,negative,52000,closest_median,max_median_delta,,Known disconnected-front weakness — tri-objective for 3D visualisation.,0.18177181864561148,0.1726091068363835,0.9289398974405805,0.9304412996350679,-0.00916271180922798,-0.0015014021944874667,0.10111111111111111,0.21777777777777776,0.17802294449676026,0.18568990380281025,0.168938290604603,0.1746102150104965,0.007666959306049992,51.0,1.0,7.0,False,False
6,bimodal_dtlz4_m3,DTLZ4 (M=3),DTLZ4,3,12,bimodal,53000,q1_q3,minmax_median_delta,0.1,Bimodal case — tri-objective for 3D visualisation.,0.05447963984648435,0.0549836185510664,0.5562261876221191,0.553481416150042,0.0005039787045820476,0.002744771472077079,0.6375,0.6738888888888889,0.053862496041949946,0.5408289527228718,0.05454439010768272,0.5408349707028273,0.48696645668092187,18.0,34.0,2.0,True,True
